"400N1_1#001"
""
"Time (s)";"Current (uA)"
"0.00000";"-0.69538"
"0.50000";"-0.65408"
"1.00000";"-0.61713"
"1.50000";"-0.58646"
"2.00000";"-0.55975"
"2.50000";"-0.53671"
"3.00000";"-0.51642"
"3.50000";"-0.49833"
"4.00000";"-0.48233"
"4.50000";"-0.46771"
"5.00000";"-0.45496"
"5.50000";"-0.44333"
"6.00000";"-0.43246"
"6.50000";"-0.42204"
"7.00000";"-0.41242"
"7.50000";"-0.40383"
"8.00000";"-0.39562"
"8.50000";"-0.38792"
"9.00000";"-0.38063"
"9.50000";"-0.37396"
"10.00000";"-0.36767"
"10.50000";"-0.36167"
"11.00000";"-0.35596"
"11.50000";"-0.35054"
"12.00000";"-0.34550"
"12.50000";"-0.34079"
"13.00000";"-0.33613"
"13.50000";"-0.33163"
"14.00000";"-0.32738"
"14.50000";"-0.32338"
"15.00000";"-0.31933"
"15.50000";"-0.31538"
"16.00000";"-0.31167"
"16.50000";"-0.30842"
"17.00000";"-0.30513"
"17.50000";"-0.30196"
"18.00000";"-0.29883"
"18.50000";"-0.29621"
"19.00000";"-0.29354"
"19.50000";"-0.29087"
"20.00000";"-0.28821"
"20.50000";"-0.28554"
"21.00000";"-0.28321"
"21.50000";"-0.28087"
"22.00000";"-0.27871"
"22.50000";"-0.27646"
"23.00000";"-0.27442"
"23.50000";"-0.27250"
"24.00000";"-0.27050"
"24.50000";"-0.26846"
"25.00000";"-0.26746"
"25.50000";"-0.26575"
"26.00000";"-0.26400"
"26.50000";"-0.26146"
"27.00000";"-0.25983"
"27.50000";"-0.25821"
"28.00000";"-0.25667"
"28.50000";"-0.25525"
"29.00000";"-0.25383"
"29.50000";"-0.25254"
"30.00000";"-0.25113"
"30.50000";"-0.25000"
"31.00000";"-0.24862"
"31.50000";"-0.24738"
"32.00000";"-0.24596"
"32.50000";"-0.24475"
"33.00000";"-0.24367"
"33.50000";"-0.24258"
"34.00000";"-0.24158"
"34.50000";"-0.24046"
"35.00000";"-0.23950"
"35.50000";"-0.23863"
"36.00000";"-0.23763"
"36.50000";"-0.23675"
"37.00000";"-0.23575"
"37.50000";"-0.23492"
"38.00000";"-0.23396"
"38.50000";"-0.23313"
"39.00000";"-0.23246"
"39.50000";"-0.23179"
"40.00000";"-0.23104"
"40.50000";"-0.23042"
"41.00000";"-0.22992"
"41.50000";"-0.22921"
"42.00000";"-0.22842"
"42.50000";"-0.22762"
"43.00000";"-0.22725"
"43.50000";"-0.22658"
"44.00000";"-0.22596"
"44.50000";"-0.22521"
"45.00000";"-0.22467"
"45.50000";"-0.22425"
"46.00000";"-0.22379"
"46.50000";"-0.22346"
"47.00000";"-0.22312"
"47.50000";"-0.22263"
"48.00000";"-0.22221"
"48.50000";"-0.22158"
"49.00000";"-0.22138"
"49.50000";"-0.22104"
"50.00000";"-0.22071"
"50.50000";"-0.22025"
"51.00000";"-0.21992"
"51.50000";"-0.21967"
"52.00000";"-0.21942"
"52.50000";"-0.21900"
"53.00000";"-0.21871"
"53.50000";"-0.21846"
"54.00000";"-0.21821"
"54.50000";"-0.21804"
"55.00000";"-0.21796"
"55.50000";"-0.21812"
"56.00000";"-0.21792"
"56.50000";"-0.21833"
"57.00000";"-0.21829"
"57.50000";"-0.22004"
"58.00000";"-0.22021"
"58.50000";"-0.22067"
"59.00000";"-0.21954"
"59.50000";"-0.21912"
"60.00000";"-0.21862"
