"400N1_1#008"
""
"Potential (V)";"Current (uA)"
"-0.33000";"-1.18000"
"-0.33200";"-1.19000"
"-0.33400";"-1.19875"
"-0.33600";"-1.20958"
"-0.33800";"-1.22000"
"-0.34000";"-1.23208"
"-0.34200";"-1.24417"
"-0.34400";"-1.25333"
"-0.34600";"-1.26292"
"-0.34800";"-1.27250"
"-0.35000";"-1.28667"
"-0.35200";"-1.29958"
"-0.35400";"-1.30917"
"-0.35600";"-1.32083"
"-0.35800";"-1.33458"
"-0.36000";"-1.35167"
"-0.36200";"-1.36625"
"-0.36400";"-1.38042"
"-0.36600";"-1.39542"
"-0.36800";"-1.41125"
"-0.37000";"-1.42792"
"-0.37200";"-1.44292"
"-0.37400";"-1.45667"
"-0.37600";"-1.47292"
"-0.37800";"-1.49125"
"-0.38000";"-1.50958"
"-0.38200";"-1.52583"
"-0.38400";"-1.54250"
"-0.38600";"-1.56375"
"-0.38800";"-1.58708"
"-0.39000";"-1.60792"
"-0.39200";"-1.62458"
"-0.39400";"-1.64417"
"-0.39600";"-1.66708"
"-0.39800";"-1.69375"
"-0.40000";"-1.71708"
"-0.40200";"-1.73958"
"-0.40400";"-1.76333"
"-0.40600";"-1.78792"
"-0.40800";"-1.81625"
"-0.41000";"-1.84375"
"-0.41200";"-1.86958"
"-0.41400";"-1.89667"
"-0.41600";"-1.92583"
"-0.41800";"-1.95708"
"-0.42000";"-1.98917"
"-0.42200";"-2.01833"
"-0.42400";"-2.05083"
"-0.42600";"-2.08375"
"-0.42800";"-2.12208"
"-0.43000";"-2.16083"
"-0.43200";"-2.19542"
"-0.43400";"-2.23083"
"-0.43600";"-2.26875"
"-0.43800";"-2.31292"
"-0.44000";"-2.35833"
"-0.44200";"-2.40000"
"-0.44400";"-2.44333"
"-0.44600";"-2.48750"
"-0.44800";"-2.53542"
"-0.45000";"-2.58417"
"-0.45200";"-2.63208"
"-0.45400";"-2.68417"
"-0.45600";"-2.73750"
"-0.45800";"-2.79333"
"-0.46000";"-2.85042"
"-0.46200";"-2.90708"
"-0.46400";"-2.96917"
"-0.46600";"-3.03250"
"-0.46800";"-3.10167"
"-0.47000";"-3.17167"
"-0.47200";"-3.23833"
"-0.47400";"-3.30708"
"-0.47600";"-3.37875"
"-0.47800";"-3.45833"
"-0.48000";"-3.53750"
"-0.48200";"-3.61583"
"-0.48400";"-3.69667"
"-0.48600";"-3.77958"
"-0.48800";"-3.86542"
"-0.49000";"-3.95333"
"-0.49200";"-4.04167"
"-0.49400";"-4.13542"
"-0.49600";"-4.23042"
"-0.49800";"-4.33250"
"-0.50000";"-4.43375"
"-0.50200";"-4.53417"
"-0.50400";"-4.63750"
"-0.50600";"-4.74458"
"-0.50800";"-4.86083"
"-0.51000";"-4.97083"
"-0.51200";"-5.08208"
"-0.51400";"-5.19333"
"-0.51600";"-5.31625"
"-0.51800";"-5.44417"
"-0.52000";"-5.57083"
"-0.52200";"-5.69917"
"-0.52400";"-5.83750"
"-0.52600";"-5.98458"
"-0.52800";"-6.13250"
"-0.53000";"-6.27292"
"-0.53200";"-6.42000"
"-0.53400";"-6.57542"
"-0.53600";"-6.73625"
"-0.53800";"-6.89750"
"-0.54000";"-7.06167"
"-0.54200";"-7.23167"
"-0.54400";"-7.39875"
"-0.54600";"-7.56750"
"-0.54800";"-7.73458"
"-0.55000";"-7.90750"
"-0.55200";"-8.08542"
"-0.55400";"-8.26750"
"-0.55600";"-8.44875"
"-0.55800";"-8.67750"
"-0.56000";"-8.89208"
"-0.56200";"-9.10500"
"-0.56400";"-9.25917"
"-0.56600";"-9.43000"
"-0.56800";"-9.60375"
"-0.57000";"-9.78917"
"-0.57200";"-9.96583"
"-0.57400";"-10.14833"
"-0.57600";"-10.32000"
"-0.57800";"-10.51750"
"-0.58000";"-10.72417"
"-0.58200";"-10.94292"
"-0.58400";"-11.14375"
"-0.58600";"-11.33208"
"-0.58800";"-11.50292"
"-0.59000";"-11.66083"
"-0.59200";"-11.81667"
"-0.59400";"-11.98083"
"-0.59600";"-12.15417"
"-0.59800";"-12.32750"
"-0.60000";"-12.50250"
"-0.59800";"-12.16542"
"-0.59600";"-11.89583"
"-0.59400";"-11.69917"
"-0.59200";"-11.51542"
"-0.59000";"-11.33667"
"-0.58800";"-11.15792"
"-0.58600";"-10.98042"
"-0.58400";"-10.80667"
"-0.58200";"-10.64417"
"-0.58000";"-10.48083"
"-0.57800";"-10.32292"
"-0.57600";"-10.16250"
"-0.57400";"-10.01042"
"-0.57200";"-9.86458"
"-0.57000";"-9.72792"
"-0.56800";"-9.59833"
"-0.56600";"-9.46875"
"-0.56400";"-9.33583"
"-0.56200";"-9.20833"
"-0.56000";"-9.08208"
"-0.55800";"-8.96167"
"-0.55600";"-8.83500"
"-0.55400";"-8.71417"
