"400N1_1#041"
""
"Time (s)";"Current (uA)"
"0";"-0.919875"
"0.5";"-0.865583"
"1";"-0.816375"
"1.5";"-0.774792"
"2";"-0.739042"
"2.5";"-0.708375"
"3";"-0.681208"
"3.5";"-0.657292"
"4";"-0.635875"
"4.5";"-0.61625"
"5";"-0.598542"
"5.5";"-0.581875"
"6";"-0.566833"
"6.5";"-0.552917"
"7";"-0.540083"
"7.5";"-0.528333"
"8";"-0.517042"
"8.5";"-0.50675"
"9";"-0.496792"
"9.5";"-0.487583"
"10";"-0.478625"
"10.5";"-0.470417"
"11";"-0.462833"
"11.5";"-0.456042"
"12";"-0.449042"
"12.5";"-0.442458"
"13";"-0.436042"
"13.5";"-0.430167"
"14";"-0.424583"
"14.5";"-0.419083"
"15";"-0.413792"
"15.5";"-0.408708"
"16";"-0.404083"
"16.5";"-0.39975"
"17";"-0.395167"
"17.5";"-0.390917"
"18";"-0.386792"
"18.5";"-0.383125"
"19";"-0.379292"
"19.5";"-0.375708"
"20";"-0.372292"
"20.5";"-0.368875"
"21";"-0.365375"
"21.5";"-0.36175"
"22";"-0.358333"
"22.5";"-0.355417"
"23";"-0.352625"
"23.5";"-0.350125"
"24";"-0.347125"
"24.5";"-0.344458"
"25";"-0.34175"
"25.5";"-0.339458"
"26";"-0.33725"
"26.5";"-0.334958"
"27";"-0.332667"
"27.5";"-0.330292"
"28";"-0.328042"
"28.5";"-0.326083"
"29";"-0.323583"
"29.5";"-0.321792"
"30";"-0.319583"
"30.5";"-0.317792"
"31";"-0.315625"
"31.5";"-0.313792"
"32";"-0.311958"
"32.5";"-0.309917"
"33";"-0.308"
"33.5";"-0.306375"
"34";"-0.304875"
"34.5";"-0.30325"
"35";"-0.301417"
"35.5";"-0.299708"
"36";"-0.298375"
"36.5";"-0.297167"
"37";"-0.296208"
"37.5";"-0.294708"
"38";"-0.293542"
"38.5";"-0.291667"
"39";"-0.290417"
"39.5";"-0.288708"
"40";"-0.287708"
"40.5";"-0.286583"
"41";"-0.285458"
"41.5";"-0.284417"
"42";"-0.283125"
"42.5";"-0.282125"
"43";"-0.28075"
"43.5";"-0.279917"
"44";"-0.279"
"44.5";"-0.27825"
"45";"-0.277042"
"45.5";"-0.276083"
"46";"-0.275167"
"46.5";"-0.274208"
"47";"-0.273625"
"47.5";"-0.272917"
"48";"-0.272167"
"48.5";"-0.271083"
"49";"-0.269875"
"49.5";"-0.269292"
"50";"-0.26875"
"50.5";"-0.268708"
"51";"-0.26825"
"51.5";"-0.267708"
"52";"-0.267667"
"52.5";"-0.267167"
"53";"-0.266875"
"53.5";"-0.266042"
"54";"-0.265792"
"54.5";"-0.265417"
"55";"-0.265042"
"55.5";"-0.26475"
"56";"-0.264583"
"56.5";"-0.264833"
"57";"-0.264792"
"57.5";"-0.264667"
"58";"-0.26425"
"58.5";"-0.264"
"59";"-0.263958"
"59.5";"-0.263875"
"60";"-0.264"
