"400N1_1#020"
""
"Time (s)";"Current (uA)"
"0";"-0.099963"
"0.5";"-0.0973"
"1";"-0.094667"
"1.5";"-0.092904"
"2";"-0.090608"
"2.5";"-0.088183"
"3";"-0.084425"
"3.5";"-0.082192"
"4";"-0.07915"
"4.5";"-0.075663"
"5";"-0.070133"
"5.5";"-0.0652"
"6";"-0.061"
"6.5";"-0.056479"
"7";"-0.05225"
"7.5";"-0.049288"
"8";"-0.04705"
"8.5";"-0.045204"
"9";"-0.043296"
"9.5";"-0.042004"
"10";"-0.041604"
"10.5";"-0.040138"
"11";"-0.037692"
"11.5";"-0.035533"
"12";"-0.03395"
"12.5";"-0.033679"
"13";"-0.032254"
"13.5";"-0.032458"
"14";"-0.03305"
"14.5";"-0.034404"
"15";"-0.033525"
"15.5";"-0.032138"
"16";"-0.030933"
"16.5";"-0.02955"
"17";"-0.027846"
"17.5";"-0.026113"
"18";"-0.025171"
"18.5";"-0.025425"
"19";"-0.026308"
"19.5";"-0.028362"
"20";"-0.029229"
"20.5";"-0.029258"
"21";"-0.028754"
"21.5";"-0.028354"
"22";"-0.02875"
"22.5";"-0.029729"
"23";"-0.030358"
"23.5";"-0.030654"
"24";"-0.029808"
"24.5";"-0.030925"
"25";"-0.031308"
"25.5";"-0.033158"
"26";"-0.034329"
"26.5";"-0.03675"
"27";"-0.0379"
"27.5";"-0.038708"
"28";"-0.039367"
"28.5";"-0.040971"
"29";"-0.043246"
"29.5";"-0.04445"
"30";"-0.042579"
"30.5";"-0.038654"
"31";"-0.031329"
"31.5";"-0.025863"
"32";"-0.021504"
"32.5";"-0.020979"
"33";"-0.020892"
"33.5";"-0.020763"
"34";"-0.020775"
"34.5";"-0.021296"
"35";"-0.021812"
"35.5";"-0.021617"
"36";"-0.020571"
"36.5";"-0.019483"
"37";"-0.019238"
"37.5";"-0.019567"
"38";"-0.020246"
"38.5";"-0.020375"
"39";"-0.020288"
"39.5";"-0.019996"
"40";"-0.020267"
"40.5";"-0.021312"
"41";"-0.022046"
"41.5";"-0.022375"
"42";"-0.021933"
"42.5";"-0.021246"
"43";"-0.020658"
"43.5";"-0.020567"
"44";"-0.021404"
"44.5";"-0.021896"
"45";"-0.022558"
"45.5";"-0.022987"
"46";"-0.022896"
"46.5";"-0.02155"
"47";"-0.020313"
"47.5";"-0.019896"
"48";"-0.019971"
"48.5";"-0.020013"
"49";"-0.019629"
"49.5";"-0.019825"
"50";"-0.020179"
"50.5";"-0.020575"
"51";"-0.020492"
"51.5";"-0.020433"
"52";"-0.022108"
"52.5";"-0.023308"
"53";"-0.025038"
"53.5";"-0.024838"
"54";"-0.02445"
"54.5";"-0.023675"
"55";"-0.022463"
"55.5";"-0.022225"
"56";"-0.020938"
"56.5";"-0.020029"
"57";"-0.019304"
"57.5";"-0.018571"
"58";"-0.018262"
"58.5";"-0.0187"
"59";"-0.020096"
"59.5";"-0.0231"
"60";"-0.026475"
