"400N1_1#030"
""
"Time (s)";"Current (uA)"
"0";"-7.4025"
"0.5";"-6.904583"
"1";"-6.466667"
"1.5";"-6.105"
"2";"-5.800416"
"2.5";"-5.537083"
"3";"-5.30875"
"3.5";"-5.107916"
"4";"-4.929166"
"4.5";"-4.7675"
"5";"-4.62125"
"5.5";"-4.48875"
"6";"-4.367084"
"6.5";"-4.255417"
"7";"-4.152084"
"7.5";"-4.057084"
"8";"-3.967916"
"8.5";"-3.885417"
"9";"-3.808333"
"9.5";"-3.73625"
"10";"-3.667084"
"10.5";"-3.6025"
"11";"-3.54125"
"11.5";"-3.484167"
"12";"-3.429167"
"12.5";"-3.37875"
"13";"-3.330417"
"13.5";"-3.285"
"14";"-3.240417"
"14.5";"-3.198334"
"15";"-3.15875"
"15.5";"-3.120417"
"16";"-3.084583"
"16.5";"-3.050417"
"17";"-3.017083"
"17.5";"-2.984583"
"18";"-2.9525"
"18.5";"-2.922917"
"19";"-2.892917"
"19.5";"-2.864167"
"20";"-2.83625"
"20.5";"-2.810416"
"21";"-2.785"
"21.5";"-2.759583"
"22";"-2.735"
"22.5";"-2.710833"
"23";"-2.688333"
"23.5";"-2.665417"
"24";"-2.64375"
"24.5";"-2.6225"
"25";"-2.602083"
"25.5";"-2.581667"
"26";"-2.5625"
"26.5";"-2.544583"
"27";"-2.527083"
"27.5";"-2.509167"
"28";"-2.490833"
"28.5";"-2.473333"
"29";"-2.45625"
"29.5";"-2.440417"
"30";"-2.424583"
"30.5";"-2.40875"
"31";"-2.39375"
"31.5";"-2.37875"
"32";"-2.364583"
"32.5";"-2.350417"
"33";"-2.337917"
"33.5";"-2.325"
"34";"-2.311667"
"34.5";"-2.298333"
"35";"-2.285833"
"35.5";"-2.27375"
"36";"-2.26125"
"36.5";"-2.249167"
"37";"-2.2375"
"37.5";"-2.226667"
"38";"-2.215417"
"38.5";"-2.205"
"39";"-2.194167"
"39.5";"-2.184167"
"40";"-2.17375"
"40.5";"-2.16375"
"41";"-2.154167"
"41.5";"-2.144167"
"42";"-2.134583"
"42.5";"-2.125833"
"43";"-2.1175"
"43.5";"-2.109167"
"44";"-2.100416"
"44.5";"-2.092083"
"45";"-2.084167"
"45.5";"-2.075833"
"46";"-2.06875"
"46.5";"-2.061667"
"47";"-2.055"
"47.5";"-2.047917"
"48";"-2.040833"
"48.5";"-2.034167"
"49";"-2.0275"
"49.5";"-2.02125"
"50";"-2.015"
"50.5";"-2.009167"
"51";"-2.00375"
"51.5";"-1.99875"
"52";"-1.993333"
"52.5";"-1.988333"
"53";"-1.982917"
"53.5";"-1.977917"
"54";"-1.972917"
"54.5";"-1.96875"
"55";"-1.964583"
"55.5";"-1.96"
"56";"-1.955833"
"56.5";"-1.952917"
"57";"-1.95125"
"57.5";"-1.949583"
"58";"-1.947083"
"58.5";"-1.945"
"59";"-1.943333"
"59.5";"-1.942083"
"60";"-1.94"
