"400N1_1#040"
""
"Time (s)";"Current (uA)"
"0";"-0.942"
"0.5";"-0.88625"
"1";"-0.836167"
"1.5";"-0.793875"
"2";"-0.757458"
"2.5";"-0.725833"
"3";"-0.697875"
"3.5";"-0.672917"
"4";"-0.65075"
"4.5";"-0.630875"
"5";"-0.613083"
"5.5";"-0.59625"
"6";"-0.581"
"6.5";"-0.56675"
"7";"-0.553792"
"7.5";"-0.541417"
"8";"-0.530083"
"8.5";"-0.519417"
"9";"-0.509667"
"9.5";"-0.500625"
"10";"-0.49225"
"10.5";"-0.484292"
"11";"-0.476583"
"11.5";"-0.469167"
"12";"-0.461792"
"12.5";"-0.454917"
"13";"-0.448417"
"13.5";"-0.442542"
"14";"-0.436833"
"14.5";"-0.431625"
"15";"-0.426167"
"15.5";"-0.421"
"16";"-0.416042"
"16.5";"-0.411417"
"17";"-0.40675"
"17.5";"-0.4025"
"18";"-0.398125"
"18.5";"-0.3945"
"19";"-0.390875"
"19.5";"-0.387792"
"20";"-0.3845"
"20.5";"-0.381"
"21";"-0.377958"
"21.5";"-0.374625"
"22";"-0.371417"
"22.5";"-0.368375"
"23";"-0.365625"
"23.5";"-0.362875"
"24";"-0.360042"
"24.5";"-0.357167"
"25";"-0.35475"
"25.5";"-0.352292"
"26";"-0.350125"
"26.5";"-0.347875"
"27";"-0.346167"
"27.5";"-0.344125"
"28";"-0.342042"
"28.5";"-0.3395"
"29";"-0.337708"
"29.5";"-0.335917"
"30";"-0.33425"
"30.5";"-0.332417"
"31";"-0.330917"
"31.5";"-0.329125"
"32";"-0.3275"
"32.5";"-0.326"
"33";"-0.324583"
"33.5";"-0.32325"
"34";"-0.321667"
"34.5";"-0.3205"
"35";"-0.319"
"35.5";"-0.317667"
"36";"-0.316583"
"36.5";"-0.315583"
"37";"-0.314917"
"37.5";"-0.313708"
"38";"-0.312708"
"38.5";"-0.311292"
"39";"-0.310083"
"39.5";"-0.309083"
"40";"-0.307833"
"40.5";"-0.30725"
"41";"-0.306375"
"41.5";"-0.306458"
"42";"-0.305542"
"42.5";"-0.304542"
"43";"-0.303292"
"43.5";"-0.302542"
"44";"-0.302333"
"44.5";"-0.301667"
"45";"-0.301375"
"45.5";"-0.30075"
"46";"-0.30025"
"46.5";"-0.2995"
"47";"-0.299042"
"47.5";"-0.298458"
"48";"-0.297667"
"48.5";"-0.296625"
"49";"-0.295958"
"49.5";"-0.2955"
"50";"-0.295208"
"50.5";"-0.29525"
"51";"-0.294958"
"51.5";"-0.294417"
"52";"-0.293583"
"52.5";"-0.293042"
"53";"-0.292625"
"53.5";"-0.29225"
"54";"-0.29175"
"54.5";"-0.291458"
"55";"-0.290958"
"55.5";"-0.290375"
"56";"-0.289792"
"56.5";"-0.289458"
"57";"-0.289292"
"57.5";"-0.289167"
"58";"-0.288708"
"58.5";"-0.288375"
"59";"-0.287917"
"59.5";"-0.287583"
"60";"-0.287125"
