"400N1_1#027"
""
"Time (s)";"Current (uA)"
"0";"-14.1925"
"0.5";"-13.337916"
"1";"-12.575833"
"1.5";"-11.9375"
"2";"-11.391251"
"2.5";"-10.9175"
"3";"-10.503333"
"3.5";"-10.135416"
"4";"-9.806251"
"4.5";"-9.507083"
"5";"-9.235833"
"5.5";"-8.989583"
"6";"-8.762083"
"6.5";"-8.552501"
"7";"-8.3575"
"7.5";"-8.178333"
"8";"-8.009583"
"8.5";"-7.850417"
"9";"-7.701666"
"9.5";"-7.5625"
"10";"-7.43375"
"10.5";"-7.309583"
"11";"-7.193333"
"11.5";"-7.081666"
"12";"-6.977083"
"12.5";"-6.8775"
"13";"-6.782083"
"13.5";"-6.69125"
"14";"-6.605"
"14.5";"-6.52375"
"15";"-6.44625"
"15.5";"-6.372083"
"16";"-6.30125"
"16.5";"-6.233334"
"17";"-6.167917"
"17.5";"-6.105417"
"18";"-6.045"
"18.5";"-5.987083"
"19";"-5.931667"
"19.5";"-5.877917"
"20";"-5.826666"
"20.5";"-5.776667"
"21";"-5.72875"
"21.5";"-5.681667"
"22";"-5.636667"
"22.5";"-5.593334"
"23";"-5.551667"
"23.5";"-5.51125"
"24";"-5.472084"
"24.5";"-5.434166"
"25";"-5.397083"
"25.5";"-5.360834"
"26";"-5.326251"
"26.5";"-5.292083"
"27";"-5.259583"
"27.5";"-5.227917"
"28";"-5.197083"
"28.5";"-5.166667"
"29";"-5.137917"
"29.5";"-5.110417"
"30";"-5.084583"
"30.5";"-5.057917"
"31";"-5.031667"
"31.5";"-5.004583"
"32";"-4.979583"
"32.5";"-4.955417"
"33";"-4.9325"
"33.5";"-4.909166"
"34";"-4.88625"
"34.5";"-4.864167"
"35";"-4.8425"
"35.5";"-4.822083"
"36";"-4.801667"
"36.5";"-4.782083"
"37";"-4.7625"
"37.5";"-4.743333"
"38";"-4.724584"
"38.5";"-4.70625"
"39";"-4.689167"
"39.5";"-4.671667"
"40";"-4.654583"
"40.5";"-4.637917"
"41";"-4.6225"
"41.5";"-4.607083"
"42";"-4.591667"
"42.5";"-4.57625"
"43";"-4.561666"
"43.5";"-4.5475"
"44";"-4.53375"
"44.5";"-4.52"
"45";"-4.50625"
"45.5";"-4.492917"
"46";"-4.479583"
"46.5";"-4.466667"
"47";"-4.454167"
"47.5";"-4.442083"
"48";"-4.430417"
"48.5";"-4.41875"
"49";"-4.407084"
"49.5";"-4.395417"
"50";"-4.383749"
"50.5";"-4.373333"
"51";"-4.362916"
"51.5";"-4.353333"
"52";"-4.343333"
"52.5";"-4.333333"
"53";"-4.322917"
"53.5";"-4.31375"
"54";"-4.305"
"54.5";"-4.2975"
"55";"-4.289167"
"55.5";"-4.281666"
"56";"-4.27375"
"56.5";"-4.26625"
"57";"-4.257916"
"57.5";"-4.249166"
"58";"-4.240417"
"58.5";"-4.2325"
"59";"-4.225417"
"59.5";"-4.218334"
"60";"-4.21125"
