"400N1_1#034"
""
"Time (s)";"Current (uA)"
"0";"-3.4725"
"0.5";"-3.265833"
"1";"-3.08125"
"1.5";"-2.925833"
"2";"-2.793333"
"2.5";"-2.67875"
"3";"-2.579583"
"3.5";"-2.49125"
"4";"-2.411667"
"4.5";"-2.338333"
"5";"-2.271667"
"5.5";"-2.210417"
"6";"-2.154583"
"6.5";"-2.10375"
"7";"-2.0575"
"7.5";"-2.01375"
"8";"-1.9725"
"8.5";"-1.934167"
"9";"-1.898333"
"9.5";"-1.865833"
"10";"-1.834583"
"10.5";"-1.805417"
"11";"-1.777917"
"11.5";"-1.75125"
"12";"-1.725417"
"12.5";"-1.700417"
"13";"-1.674"
"13.5";"-1.649667"
"14";"-1.625375"
"14.5";"-1.60575"
"15";"-1.586167"
"15.5";"-1.567833"
"16";"-1.549458"
"16.5";"-1.531958"
"17";"-1.514833"
"17.5";"-1.498292"
"18";"-1.483333"
"18.5";"-1.4685"
"19";"-1.454667"
"19.5";"-1.440958"
"20";"-1.428542"
"20.5";"-1.416625"
"21";"-1.40475"
"21.5";"-1.393458"
"22";"-1.383042"
"22.5";"-1.371958"
"23";"-1.360667"
"23.5";"-1.348583"
"24";"-1.337542"
"24.5";"-1.326792"
"25";"-1.316958"
"25.5";"-1.307792"
"26";"-1.298875"
"26.5";"-1.290292"
"27";"-1.281917"
"27.5";"-1.274208"
"28";"-1.265917"
"28.5";"-1.257792"
"29";"-1.249708"
"29.5";"-1.242083"
"30";"-1.234542"
"30.5";"-1.227375"
"31";"-1.220583"
"31.5";"-1.214208"
"32";"-1.207625"
"32.5";"-1.20175"
"33";"-1.195542"
"33.5";"-1.189458"
"34";"-1.1835"
"34.5";"-1.177625"
"35";"-1.172375"
"35.5";"-1.167292"
"36";"-1.162417"
"36.5";"-1.157917"
"37";"-1.153167"
"37.5";"-1.149208"
"38";"-1.144708"
"38.5";"-1.140458"
"39";"-1.136"
"39.5";"-1.132083"
"40";"-1.12725"
"40.5";"-1.123083"
"41";"-1.11875"
"41.5";"-1.115792"
"42";"-1.112"
"42.5";"-1.108583"
"43";"-1.104958"
"43.5";"-1.102"
"44";"-1.099167"
"44.5";"-1.096"
"45";"-1.092417"
"45.5";"-1.089125"
"46";"-1.086208"
"46.5";"-1.08425"
"47";"-1.081667"
"47.5";"-1.079292"
"48";"-1.076833"
"48.5";"-1.075208"
"49";"-1.073208"
"49.5";"-1.071333"
"50";"-1.06875"
"50.5";"-1.066458"
"51";"-1.06425"
"51.5";"-1.062292"
"52";"-1.060542"
"52.5";"-1.058667"
"53";"-1.056875"
"53.5";"-1.055083"
"54";"-1.053625"
"54.5";"-1.052458"
"55";"-1.051333"
"55.5";"-1.049792"
"56";"-1.04875"
"56.5";"-1.04775"
"57";"-1.047083"
"57.5";"-1.046042"
"58";"-1.045375"
"58.5";"-1.04475"
"59";"-1.044042"
"59.5";"-1.043625"
"60";"-1.0435"
