"400N1_1#036"
""
"Time (s)";"Current (uA)"
"0";"-2.065"
"0.5";"-1.912917"
"1";"-1.779167"
"1.5";"-1.67"
"2";"-1.5775"
"2.5";"-1.49875"
"3";"-1.426458"
"3.5";"-1.363542"
"4";"-1.307917"
"4.5";"-1.261625"
"5";"-1.219042"
"5.5";"-1.180083"
"6";"-1.145125"
"6.5";"-1.113458"
"7";"-1.084167"
"7.5";"-1.057"
"8";"-1.032167"
"8.5";"-1.009125"
"9";"-0.987958"
"9.5";"-0.968375"
"10";"-0.950417"
"10.5";"-0.933375"
"11";"-0.917292"
"11.5";"-0.902083"
"12";"-0.8875"
"12.5";"-0.873125"
"13";"-0.859625"
"13.5";"-0.84725"
"14";"-0.835583"
"14.5";"-0.824542"
"15";"-0.813208"
"15.5";"-0.803"
"16";"-0.793042"
"16.5";"-0.783208"
"17";"-0.773667"
"17.5";"-0.764125"
"18";"-0.755667"
"18.5";"-0.747"
"19";"-0.73875"
"19.5";"-0.730958"
"20";"-0.7235"
"20.5";"-0.716583"
"21";"-0.70925"
"21.5";"-0.702208"
"22";"-0.6955"
"22.5";"-0.689333"
"23";"-0.68325"
"23.5";"-0.677083"
"24";"-0.671292"
"24.5";"-0.665833"
"25";"-0.660542"
"25.5";"-0.654917"
"26";"-0.64975"
"26.5";"-0.644625"
"27";"-0.640125"
"27.5";"-0.6355"
"28";"-0.631125"
"28.5";"-0.626542"
"29";"-0.62225"
"29.5";"-0.618"
"30";"-0.614083"
"30.5";"-0.609958"
"31";"-0.605958"
"31.5";"-0.601792"
"32";"-0.597917"
"32.5";"-0.59425"
"33";"-0.590792"
"33.5";"-0.587083"
"34";"-0.583625"
"34.5";"-0.580375"
"35";"-0.577417"
"35.5";"-0.574292"
"36";"-0.570917"
"36.5";"-0.567583"
"37";"-0.565292"
"37.5";"-0.5625"
"38";"-0.5595"
"38.5";"-0.555583"
"39";"-0.552292"
"39.5";"-0.549417"
"40";"-0.546625"
"40.5";"-0.544125"
"41";"-0.541667"
"41.5";"-0.539125"
"42";"-0.536917"
"42.5";"-0.534417"
"43";"-0.531917"
"43.5";"-0.529167"
"44";"-0.526917"
"44.5";"-0.52475"
"45";"-0.522958"
"45.5";"-0.520958"
"46";"-0.518958"
"46.5";"-0.516708"
"47";"-0.5145"
"47.5";"-0.512458"
"48";"-0.51025"
"48.5";"-0.508292"
"49";"-0.506292"
"49.5";"-0.504583"
"50";"-0.502833"
"50.5";"-0.501042"
"51";"-0.499292"
"51.5";"-0.497417"
"52";"-0.495708"
"52.5";"-0.493917"
"53";"-0.492167"
"53.5";"-0.490625"
"54";"-0.488875"
"54.5";"-0.487458"
"55";"-0.485958"
"55.5";"-0.484583"
"56";"-0.483"
"56.5";"-0.481458"
"57";"-0.480125"
"57.5";"-0.478958"
"58";"-0.478042"
"58.5";"-0.476875"
"59";"-0.475833"
"59.5";"-0.474667"
"60";"-0.473875"
