"400N1_1#049"
""
"Time (s)";"Current (uA)"
"0";"-0.20625"
"0.5";"-0.192917"
"1";"-0.181208"
"1.5";"-0.171542"
"2";"-0.163583"
"2.5";"-0.157417"
"3";"-0.151917"
"3.5";"-0.148371"
"4";"-0.142767"
"4.5";"-0.137583"
"5";"-0.131454"
"5.5";"-0.127846"
"6";"-0.124875"
"6.5";"-0.121233"
"7";"-0.118221"
"7.5";"-0.114958"
"8";"-0.112862"
"8.5";"-0.110246"
"9";"-0.108346"
"9.5";"-0.106129"
"10";"-0.104288"
"10.5";"-0.10245"
"11";"-0.100829"
"11.5";"-0.098788"
"12";"-0.096858"
"12.5";"-0.095221"
"13";"-0.0944"
"13.5";"-0.0939"
"14";"-0.096283"
"14.5";"-0.098179"
"15";"-0.099279"
"15.5";"-0.098138"
"16";"-0.096992"
"16.5";"-0.095696"
"17";"-0.094296"
"17.5";"-0.092717"
"18";"-0.0894"
"18.5";"-0.085346"
"19";"-0.082025"
"19.5";"-0.080892"
"20";"-0.080321"
"20.5";"-0.078833"
"21";"-0.077962"
"21.5";"-0.077079"
"22";"-0.076696"
"22.5";"-0.076142"
"23";"-0.075725"
"23.5";"-0.075004"
"24";"-0.075038"
"24.5";"-0.074746"
"25";"-0.074575"
"25.5";"-0.073579"
"26";"-0.072979"
"26.5";"-0.073158"
"27";"-0.07335"
"27.5";"-0.073338"
"28";"-0.072833"
"28.5";"-0.071542"
"29";"-0.070146"
"29.5";"-0.068779"
"30";"-0.068346"
"30.5";"-0.067671"
"31";"-0.067025"
"31.5";"-0.0665"
"32";"-0.066004"
"32.5";"-0.065708"
"33";"-0.065483"
"33.5";"-0.064971"
"34";"-0.064746"
"34.5";"-0.064246"
"35";"-0.064533"
"35.5";"-0.064187"
"36";"-0.063829"
"36.5";"-0.062817"
"37";"-0.062312"
"37.5";"-0.06205"
"38";"-0.061929"
"38.5";"-0.061967"
"39";"-0.0616"
"39.5";"-0.061813"
"40";"-0.061458"
"40.5";"-0.061438"
"41";"-0.061092"
"41.5";"-0.061025"
"42";"-0.060383"
"42.5";"-0.060137"
"43";"-0.059704"
"43.5";"-0.0597"
"44";"-0.059392"
"44.5";"-0.059067"
"45";"-0.058812"
"45.5";"-0.058438"
"46";"-0.058296"
"46.5";"-0.058017"
"47";"-0.058008"
"47.5";"-0.057821"
"48";"-0.057637"
"48.5";"-0.057625"
"49";"-0.057517"
"49.5";"-0.057471"
"50";"-0.057163"
"50.5";"-0.057146"
"51";"-0.056921"
"51.5";"-0.056854"
"52";"-0.056212"
"52.5";"-0.056283"
"53";"-0.056121"
"53.5";"-0.056021"
"54";"-0.055679"
"54.5";"-0.055588"
"55";"-0.056042"
"55.5";"-0.0559"
"56";"-0.055592"
"56.5";"-0.054917"
"57";"-0.054675"
"57.5";"-0.054771"
"58";"-0.055013"
"58.5";"-0.055225"
"59";"-0.054958"
"59.5";"-0.054575"
"60";"-0.054025"
