"400N1_1#047"
""
"Time (s)";"Current (uA)"
"0";"-0.267375"
"0.5";"-0.251458"
"1";"-0.237167"
"1.5";"-0.224708"
"2";"-0.214167"
"2.5";"-0.205"
"3";"-0.197458"
"3.5";"-0.190667"
"4";"-0.184583"
"4.5";"-0.178792"
"5";"-0.173292"
"5.5";"-0.168583"
"6";"-0.164"
"6.5";"-0.159967"
"7";"-0.156033"
"7.5";"-0.152775"
"8";"-0.149221"
"8.5";"-0.146183"
"9";"-0.143396"
"9.5";"-0.14105"
"10";"-0.138354"
"10.5";"-0.135958"
"11";"-0.133842"
"11.5";"-0.13185"
"12";"-0.129933"
"12.5";"-0.128154"
"13";"-0.126237"
"13.5";"-0.124458"
"14";"-0.122608"
"14.5";"-0.121133"
"15";"-0.119604"
"15.5";"-0.11855"
"16";"-0.11755"
"16.5";"-0.11625"
"17";"-0.114967"
"17.5";"-0.113475"
"18";"-0.112146"
"18.5";"-0.110475"
"19";"-0.109412"
"19.5";"-0.108025"
"20";"-0.107021"
"20.5";"-0.105929"
"21";"-0.1051"
"21.5";"-0.104383"
"22";"-0.103292"
"22.5";"-0.102446"
"23";"-0.101483"
"23.5";"-0.100633"
"24";"-0.099975"
"24.5";"-0.099663"
"25";"-0.099029"
"25.5";"-0.098262"
"26";"-0.097375"
"26.5";"-0.096733"
"27";"-0.096279"
"27.5";"-0.095275"
"28";"-0.094292"
"28.5";"-0.09375"
"29";"-0.0934"
"29.5";"-0.093438"
"30";"-0.092954"
"30.5";"-0.0924"
"31";"-0.091517"
"31.5";"-0.091067"
"32";"-0.090371"
"32.5";"-0.090204"
"33";"-0.089475"
"33.5";"-0.089163"
"34";"-0.089063"
"34.5";"-0.088629"
"35";"-0.088329"
"35.5";"-0.087567"
"36";"-0.087321"
"36.5";"-0.086958"
"37";"-0.086604"
"37.5";"-0.086046"
"38";"-0.085783"
"38.5";"-0.085592"
"39";"-0.0852"
"39.5";"-0.084888"
"40";"-0.084442"
"40.5";"-0.084221"
"41";"-0.083979"
"41.5";"-0.083754"
"42";"-0.083817"
"42.5";"-0.083638"
"43";"-0.083433"
"43.5";"-0.08295"
"44";"-0.082338"
"44.5";"-0.081829"
"45";"-0.081538"
"45.5";"-0.081229"
"46";"-0.081138"
"46.5";"-0.081208"
"47";"-0.081067"
"47.5";"-0.080958"
"48";"-0.081042"
"48.5";"-0.081258"
"49";"-0.081054"
"49.5";"-0.080554"
"50";"-0.0804"
"50.5";"-0.080492"
"51";"-0.080254"
"51.5";"-0.079992"
"52";"-0.0799"
"52.5";"-0.079475"
"53";"-0.078975"
"53.5";"-0.078488"
"54";"-0.078496"
"54.5";"-0.078413"
"55";"-0.078337"
"55.5";"-0.0785"
"56";"-0.078263"
"56.5";"-0.078162"
"57";"-0.077704"
"57.5";"-0.07785"
"58";"-0.077458"
"58.5";"-0.077454"
"59";"-0.077304"
"59.5";"-0.077221"
"60";"-0.0769"
