"400N1_1#053"
""
"Time (s)";"Current (uA)"
"0";"-0.182375"
"0.5";"-0.161375"
"1";"-0.144208"
"1.5";"-0.132083"
"2";"-0.12525"
"2.5";"-0.119442"
"3";"-0.114663"
"3.5";"-0.110233"
"4";"-0.106887"
"4.5";"-0.103242"
"5";"-0.099958"
"5.5";"-0.096417"
"6";"-0.093604"
"6.5";"-0.090858"
"7";"-0.089517"
"7.5";"-0.087575"
"8";"-0.0858"
"8.5";"-0.082837"
"9";"-0.080862"
"9.5";"-0.079825"
"10";"-0.078692"
"10.5";"-0.0768"
"11";"-0.075938"
"11.5";"-0.077242"
"12";"-0.078429"
"12.5";"-0.075963"
"13";"-0.071821"
"13.5";"-0.068171"
"14";"-0.067025"
"14.5";"-0.065408"
"15";"-0.064208"
"15.5";"-0.06275"
"16";"-0.062112"
"16.5";"-0.061104"
"17";"-0.060296"
"17.5";"-0.060162"
"18";"-0.059483"
"18.5";"-0.05865"
"19";"-0.057658"
"19.5";"-0.057087"
"20";"-0.056492"
"20.5";"-0.055375"
"21";"-0.054554"
"21.5";"-0.05405"
"22";"-0.054096"
"22.5";"-0.055067"
"23";"-0.054754"
"23.5";"-0.053729"
"24";"-0.051654"
"24.5";"-0.051133"
"25";"-0.050625"
"25.5";"-0.050617"
"26";"-0.049892"
"26.5";"-0.0498"
"27";"-0.049408"
"27.5";"-0.049517"
"28";"-0.048771"
"28.5";"-0.048371"
"29";"-0.047608"
"29.5";"-0.047192"
"30";"-0.046275"
"30.5";"-0.045396"
"31";"-0.044633"
"31.5";"-0.044296"
"32";"-0.04405"
"32.5";"-0.044613"
"33";"-0.044442"
"33.5";"-0.044337"
"34";"-0.043675"
"34.5";"-0.043196"
"35";"-0.042708"
"35.5";"-0.042442"
"36";"-0.042171"
"36.5";"-0.041958"
"37";"-0.041304"
"37.5";"-0.04135"
"38";"-0.04135"
"38.5";"-0.041321"
"39";"-0.040883"
"39.5";"-0.040221"
"40";"-0.0398"
"40.5";"-0.039508"
"41";"-0.039321"
"41.5";"-0.038729"
"42";"-0.038604"
"42.5";"-0.038317"
"43";"-0.038771"
"43.5";"-0.038542"
"44";"-0.038379"
"44.5";"-0.037892"
"45";"-0.038079"
"45.5";"-0.038179"
"46";"-0.038433"
"46.5";"-0.038071"
"47";"-0.039592"
"47.5";"-0.041375"
"48";"-0.042142"
"48.5";"-0.0413"
"49";"-0.040225"
"49.5";"-0.040308"
"50";"-0.040604"
"50.5";"-0.039983"
"51";"-0.039325"
"51.5";"-0.038379"
"52";"-0.037663"
"52.5";"-0.036588"
"53";"-0.035733"
"53.5";"-0.03505"
"54";"-0.035542"
"54.5";"-0.035754"
"55";"-0.036213"
"55.5";"-0.035658"
"56";"-0.035642"
"56.5";"-0.035783"
"57";"-0.036792"
"57.5";"-0.037138"
"58";"-0.037683"
"58.5";"-0.038279"
"59";"-0.039163"
"59.5";"-0.039633"
"60";"-0.03935"
