"400N1_1#044"
""
"Time (s)";"Current (uA)"
"0";"-0.475375"
"0.5";"-0.446458"
"1";"-0.420708"
"1.5";"-0.399333"
"2";"-0.380958"
"2.5";"-0.365083"
"3";"-0.351125"
"3.5";"-0.339125"
"4";"-0.327917"
"4.5";"-0.317458"
"5";"-0.307417"
"5.5";"-0.298875"
"6";"-0.291083"
"6.5";"-0.284458"
"7";"-0.277833"
"7.5";"-0.271958"
"8";"-0.266"
"8.5";"-0.260875"
"9";"-0.2555"
"9.5";"-0.250333"
"10";"-0.245458"
"10.5";"-0.241208"
"11";"-0.237208"
"11.5";"-0.233417"
"12";"-0.229875"
"12.5";"-0.226417"
"13";"-0.223417"
"13.5";"-0.220583"
"14";"-0.217583"
"14.5";"-0.214375"
"15";"-0.211292"
"15.5";"-0.208833"
"16";"-0.206083"
"16.5";"-0.203542"
"17";"-0.201167"
"17.5";"-0.199042"
"18";"-0.197042"
"18.5";"-0.195042"
"19";"-0.193333"
"19.5";"-0.19125"
"20";"-0.189458"
"20.5";"-0.187333"
"21";"-0.185417"
"21.5";"-0.183458"
"22";"-0.182042"
"22.5";"-0.180833"
"23";"-0.179208"
"23.5";"-0.177708"
"24";"-0.176042"
"24.5";"-0.174779"
"25";"-0.173313"
"25.5";"-0.172004"
"26";"-0.170787"
"26.5";"-0.169454"
"27";"-0.168208"
"27.5";"-0.166958"
"28";"-0.165821"
"28.5";"-0.164775"
"29";"-0.163671"
"29.5";"-0.162367"
"30";"-0.161196"
"30.5";"-0.160063"
"31";"-0.159621"
"31.5";"-0.158771"
"32";"-0.157946"
"32.5";"-0.156967"
"33";"-0.156229"
"33.5";"-0.155237"
"34";"-0.154217"
"34.5";"-0.1531"
"35";"-0.152404"
"35.5";"-0.151558"
"36";"-0.150654"
"36.5";"-0.150283"
"37";"-0.149617"
"37.5";"-0.148988"
"38";"-0.148008"
"38.5";"-0.147408"
"39";"-0.146804"
"39.5";"-0.146083"
"40";"-0.145121"
"40.5";"-0.144675"
"41";"-0.144058"
"41.5";"-0.143737"
"42";"-0.143513"
"42.5";"-0.143071"
"43";"-0.142646"
"43.5";"-0.141796"
"44";"-0.141258"
"44.5";"-0.140654"
"45";"-0.140283"
"45.5";"-0.139842"
"46";"-0.139571"
"46.5";"-0.139038"
"47";"-0.1386"
"47.5";"-0.138233"
"48";"-0.137729"
"48.5";"-0.137696"
"49";"-0.1369"
"49.5";"-0.1362"
"50";"-0.135558"
"50.5";"-0.13555"
"51";"-0.135363"
"51.5";"-0.1349"
"52";"-0.134671"
"52.5";"-0.134671"
"53";"-0.134383"
"53.5";"-0.133883"
"54";"-0.133488"
"54.5";"-0.133367"
"55";"-0.133042"
"55.5";"-0.133075"
"56";"-0.133054"
"56.5";"-0.133233"
"57";"-0.132788"
"57.5";"-0.132429"
"58";"-0.131792"
"58.5";"-0.131425"
"59";"-0.131008"
"59.5";"-0.130696"
"60";"-0.130375"
