"400N1_1#037"
""
"Time (s)";"Current (uA)"
"0";"-1.7025"
"0.5";"-1.600417"
"1";"-1.509167"
"1.5";"-1.4325"
"2";"-1.362375"
"2.5";"-1.30175"
"3";"-1.24825"
"3.5";"-1.204625"
"4";"-1.165208"
"4.5";"-1.129583"
"5";"-1.097"
"5.5";"-1.067333"
"6";"-1.04"
"6.5";"-1.015042"
"7";"-0.991917"
"7.5";"-0.970458"
"8";"-0.950292"
"8.5";"-0.93125"
"9";"-0.9135"
"9.5";"-0.897083"
"10";"-0.881792"
"10.5";"-0.866917"
"11";"-0.852917"
"11.5";"-0.839375"
"12";"-0.82675"
"12.5";"-0.814792"
"13";"-0.803542"
"13.5";"-0.792708"
"14";"-0.781958"
"14.5";"-0.771958"
"15";"-0.762792"
"15.5";"-0.754167"
"16";"-0.745417"
"16.5";"-0.736958"
"17";"-0.728667"
"17.5";"-0.720917"
"18";"-0.713208"
"18.5";"-0.706083"
"19";"-0.699083"
"19.5";"-0.692292"
"20";"-0.685958"
"20.5";"-0.679792"
"21";"-0.673875"
"21.5";"-0.667583"
"22";"-0.66175"
"22.5";"-0.65625"
"23";"-0.650875"
"23.5";"-0.645667"
"24";"-0.640625"
"24.5";"-0.635958"
"25";"-0.630958"
"25.5";"-0.626125"
"26";"-0.621542"
"26.5";"-0.617292"
"27";"-0.612833"
"27.5";"-0.608542"
"28";"-0.60425"
"28.5";"-0.600417"
"29";"-0.596833"
"29.5";"-0.593375"
"30";"-0.590042"
"30.5";"-0.586375"
"31";"-0.582833"
"31.5";"-0.579083"
"32";"-0.575542"
"32.5";"-0.572208"
"33";"-0.568875"
"33.5";"-0.565708"
"34";"-0.562375"
"34.5";"-0.559333"
"35";"-0.556167"
"35.5";"-0.55325"
"36";"-0.550042"
"36.5";"-0.547167"
"37";"-0.544042"
"37.5";"-0.540958"
"38";"-0.538083"
"38.5";"-0.535375"
"39";"-0.532875"
"39.5";"-0.530167"
"40";"-0.527583"
"40.5";"-0.525083"
"41";"-0.522625"
"41.5";"-0.519917"
"42";"-0.51725"
"42.5";"-0.514417"
"43";"-0.51225"
"43.5";"-0.510375"
"44";"-0.508333"
"44.5";"-0.506208"
"45";"-0.504042"
"45.5";"-0.502042"
"46";"-0.499875"
"46.5";"-0.497625"
"47";"-0.495458"
"47.5";"-0.493417"
"48";"-0.4915"
"48.5";"-0.489333"
"49";"-0.487208"
"49.5";"-0.485333"
"50";"-0.483625"
"50.5";"-0.481833"
"51";"-0.47975"
"51.5";"-0.478083"
"52";"-0.476417"
"52.5";"-0.474542"
"53";"-0.472917"
"53.5";"-0.471125"
"54";"-0.469625"
"54.5";"-0.467958"
"55";"-0.466417"
"55.5";"-0.465208"
"56";"-0.463833"
"56.5";"-0.462458"
"57";"-0.461042"
"57.5";"-0.459667"
"58";"-0.458583"
"58.5";"-0.457125"
"59";"-0.455708"
"59.5";"-0.454417"
"60";"-0.4535"
