"400N1_1#005"
""
"Potential (V)";"Current (uA)"
"-0.33000";"-0.14358"
"-0.33200";"-0.14488"
"-0.33400";"-0.14583"
"-0.33600";"-0.14688"
"-0.33800";"-0.14821"
"-0.34000";"-0.15013"
"-0.34200";"-0.15146"
"-0.34400";"-0.15262"
"-0.34600";"-0.15375"
"-0.34800";"-0.15533"
"-0.35000";"-0.15721"
"-0.35200";"-0.15904"
"-0.35400";"-0.16075"
"-0.35600";"-0.16229"
"-0.35800";"-0.16417"
"-0.36000";"-0.16608"
"-0.36200";"-0.16829"
"-0.36400";"-0.17004"
"-0.36600";"-0.17208"
"-0.36800";"-0.17438"
"-0.37000";"-0.17667"
"-0.37200";"-0.17921"
"-0.37400";"-0.18142"
"-0.37600";"-0.18392"
"-0.37800";"-0.18600"
"-0.38000";"-0.18846"
"-0.38200";"-0.19062"
"-0.38400";"-0.19325"
"-0.38600";"-0.19546"
"-0.38800";"-0.19817"
"-0.39000";"-0.20067"
"-0.39200";"-0.20342"
"-0.39400";"-0.20621"
"-0.39600";"-0.20963"
"-0.39800";"-0.21325"
"-0.40000";"-0.21650"
"-0.40200";"-0.21946"
"-0.40400";"-0.22237"
"-0.40600";"-0.22596"
"-0.40800";"-0.22929"
"-0.41000";"-0.23296"
"-0.41200";"-0.23658"
"-0.41400";"-0.24021"
"-0.41600";"-0.24387"
"-0.41800";"-0.24733"
"-0.42000";"-0.25129"
"-0.42200";"-0.25554"
"-0.42400";"-0.26004"
"-0.42600";"-0.26458"
"-0.42800";"-0.26871"
"-0.43000";"-0.27292"
"-0.43200";"-0.27721"
"-0.43400";"-0.28212"
"-0.43600";"-0.28808"
"-0.43800";"-0.29392"
"-0.44000";"-0.29887"
"-0.44200";"-0.30275"
"-0.44400";"-0.30675"
"-0.44600";"-0.31246"
"-0.44800";"-0.31808"
"-0.45000";"-0.32433"
"-0.45200";"-0.32937"
"-0.45400";"-0.33512"
"-0.45600";"-0.34125"
"-0.45800";"-0.34792"
"-0.46000";"-0.35471"
"-0.46200";"-0.36183"
"-0.46400";"-0.36833"
"-0.46600";"-0.37487"
"-0.46800";"-0.38117"
"-0.47000";"-0.38833"
"-0.47200";"-0.39492"
"-0.47400";"-0.40221"
"-0.47600";"-0.40971"
"-0.47800";"-0.41804"
"-0.48000";"-0.42579"
"-0.48200";"-0.43567"
"-0.48400";"-0.44446"
"-0.48600";"-0.45342"
"-0.48800";"-0.46054"
"-0.49000";"-0.46967"
"-0.49200";"-0.47850"
"-0.49400";"-0.48767"
"-0.49600";"-0.49683"
"-0.49800";"-0.50708"
"-0.50000";"-0.51754"
"-0.50200";"-0.52738"
"-0.50400";"-0.53787"
"-0.50600";"-0.54862"
"-0.50800";"-0.56012"
"-0.51000";"-0.57046"
"-0.51200";"-0.58158"
"-0.51400";"-0.59258"
"-0.51600";"-0.60479"
"-0.51800";"-0.61646"
"-0.52000";"-0.62833"
"-0.52200";"-0.64054"
"-0.52400";"-0.65317"
"-0.52600";"-0.66683"
"-0.52800";"-0.68037"
"-0.53000";"-0.69408"
"-0.53200";"-0.70742"
"-0.53400";"-0.72163"
"-0.53600";"-0.73617"
"-0.53800";"-0.75146"
"-0.54000";"-0.76596"
"-0.54200";"-0.78129"
"-0.54400";"-0.79708"
"-0.54600";"-0.81400"
"-0.54800";"-0.83137"
"-0.55000";"-0.84754"
"-0.55200";"-0.86375"
"-0.55400";"-0.88004"
"-0.55600";"-0.89812"
"-0.55800";"-0.91717"
"-0.56000";"-0.93529"
"-0.56200";"-0.95467"
"-0.56400";"-0.97383"
"-0.56600";"-0.99417"
"-0.56800";"-1.01417"
"-0.57000";"-1.03396"
"-0.57200";"-1.05433"
"-0.57400";"-1.07525"
"-0.57600";"-1.09721"
"-0.57800";"-1.11983"
"-0.58000";"-1.14175"
"-0.58200";"-1.16467"
"-0.58400";"-1.18821"
"-0.58600";"-1.21321"
"-0.58800";"-1.23850"
"-0.59000";"-1.26250"
"-0.59200";"-1.28792"
"-0.59400";"-1.31417"
"-0.59600";"-1.34371"
"-0.59800";"-1.37221"
"-0.60000";"-1.39975"
"-0.59800";"-1.34021"
"-0.59600";"-1.28708"
"-0.59400";"-1.24183"
"-0.59200";"-1.20187"
"-0.59000";"-1.16442"
"-0.58800";"-1.12879"
"-0.58600";"-1.09392"
"-0.58400";"-1.06163"
"-0.58200";"-1.03208"
"-0.58000";"-1.00279"
"-0.57800";"-0.97363"
"-0.57600";"-0.94467"
"-0.57400";"-0.91746"
"-0.57200";"-0.89317"
"-0.57000";"-0.86921"
"-0.56800";"-0.84663"
"-0.56600";"-0.82283"
"-0.56400";"-0.80042"
"-0.56200";"-0.77867"
"-0.56000";"-0.75817"
"-0.55800";"-0.73817"
"-0.55600";"-0.71846"
"-0.55400";"-0.69954"
"-0.55200";"-0.68162"
"-0.55000";"-0.66417"
"-0.54800";"-0.64771"
"-0.54600";"-0.63117"
"-0.54400";"-0.61492"
"-0.54200";"-0.59900"
"-0.54000";"-0.58371"
"-0.53800";"-0.56904"
"-0.53600";"-0.55417"
"-0.53400";"-0.53987"
"-0.53200";"-0.52658"
"-0.53000";"-0.51358"
"-0.52800";"-0.50054"
"-0.52600";"-0.48737"
"-0.52400";"-0.47504"
"-0.52200";"-0.46371"
"-0.52000";"-0.45258"
"-0.51800";"-0.44108"
"-0.51600";"-0.42912"
"-0.51400";"-0.41762"
"-0.51200";"-0.40721"
"-0.51000";"-0.39725"
"-0.50800";"-0.38733"
"-0.50600";"-0.37746"
"-0.50400";"-0.36817"
"-0.50200";"-0.35888"
"-0.50000";"-0.34962"
"-0.49800";"-0.34037"
"-0.49600";"-0.33138"
"-0.49400";"-0.32292"
"-0.49200";"-0.31454"
"-0.49000";"-0.30642"
"-0.48800";"-0.29812"
"-0.48600";"-0.28988"
"-0.48400";"-0.28258"
"-0.48200";"-0.27492"
"-0.48000";"-0.26829"
"-0.47800";"-0.26083"
"-0.47600";"-0.25387"
"-0.47400";"-0.24696"
"-0.47200";"-0.24050"
"-0.47000";"-0.23421"
"-0.46800";"-0.22767"
"-0.46600";"-0.22183"
"-0.46400";"-0.21637"
"-0.46200";"-0.21029"
"-0.46000";"-0.20396"
"-0.45800";"-0.19863"
"-0.45600";"-0.19304"
"-0.45400";"-0.18775"
"-0.45200";"-0.18154"
"-0.45000";"-0.17629"
"-0.44800";"-0.17112"
"-0.44600";"-0.16600"
"-0.44400";"-0.16150"
"-0.44200";"-0.15671"
"-0.44000";"-0.15237"
"-0.43800";"-0.14758"
"-0.43600";"-0.14333"
"-0.43400";"-0.13908"
"-0.43200";"-0.13525"
"-0.43000";"-0.13104"
"-0.42800";"-0.12717"
"-0.42600";"-0.12304"
"-0.42400";"-0.11975"
"-0.42200";"-0.11588"
"-0.42000";"-0.11225"
"-0.41800";"-0.10842"
"-0.41600";"-0.10517"
"-0.41400";"-0.10192"
"-0.41200";"-0.09912"
"-0.41000";"-0.09579"
"-0.40800";"-0.09242"
"-0.40600";"-0.08850"
"-0.40400";"-0.08596"
"-0.40200";"-0.08317"
"-0.40000";"-0.08046"
"-0.39800";"-0.07700"
"-0.39600";"-0.07429"
"-0.39400";"-0.07196"
"-0.39200";"-0.06962"
"-0.39000";"-0.06671"
"-0.38800";"-0.06367"
"-0.38600";"-0.06083"
"-0.38400";"-0.05879"
"-0.38200";"-0.05683"
"-0.38000";"-0.05471"
"-0.37800";"-0.05246"
"-0.37600";"-0.05058"
"-0.37400";"-0.04854"
"-0.37200";"-0.04650"
"-0.37000";"-0.04367"
"-0.36800";"-0.04154"
"-0.36600";"-0.03967"
"-0.36400";"-0.03812"
"-0.36200";"-0.03625"
"-0.36000";"-0.03392"
"-0.35800";"-0.03192"
"-0.35600";"-0.03021"
"-0.35400";"-0.02867"
"-0.35200";"-0.02683"
"-0.35000";"-0.02479"
"-0.34800";"-0.02292"
"-0.34600";"-0.02125"
"-0.34400";"-0.01983"
"-0.34200";"-0.01783"
"-0.34000";"-0.01571"
"-0.33800";"-0.01346"
"-0.33600";"-0.01200"
"-0.33400";"-0.01029"
"-0.33200";"-0.00850"
"-0.33000";"-0.00646"
"-0.32800";"-0.00471"
"-0.32600";"-0.00296"
"-0.32400";"-0.00117"
"-0.32200";"0.00054"
"-0.32000";"0.00233"
"-0.31800";"0.00383"
"-0.31600";"0.00504"
"-0.31400";"0.00633"
"-0.31200";"0.00804"
"-0.31000";"0.00983"
"-0.30800";"0.01129"
"-0.30600";"0.01192"
"-0.30400";"0.01304"
"-0.30200";"0.01421"
"-0.30000";"0.01571"
"-0.29800";"0.01750"
"-0.29600";"0.01912"
"-0.29400";"0.02154"
"-0.29200";"0.02362"
"-0.29000";"0.02604"
"-0.28800";"0.02817"
"-0.28600";"0.03013"
"-0.28400";"0.03196"
"-0.28200";"0.03342"
"-0.28000";"0.03483"
"-0.27800";"0.03654"
"-0.27600";"0.03788"
"-0.27400";"0.03929"
"-0.27200";"0.04021"
"-0.27000";"0.04142"
"-0.26800";"0.04221"
"-0.26600";"0.04271"
"-0.26400";"0.04383"
"-0.26200";"0.04500"
"-0.26000";"0.04679"
"-0.25800";"0.04796"
"-0.25600";"0.04908"
"-0.25400";"0.04988"
"-0.25200";"0.05067"
"-0.25000";"0.05129"
"-0.24800";"0.05212"
"-0.24600";"0.05304"
"-0.24400";"0.05404"
"-0.24200";"0.05533"
"-0.24000";"0.05721"
"-0.23800";"0.05962"
"-0.23600";"0.06279"
"-0.23400";"0.06538"
"-0.23200";"0.06737"
"-0.23000";"0.06788"
"-0.22800";"0.06704"
"-0.22600";"0.06621"
"-0.22400";"0.06529"
"-0.22200";"0.06596"
"-0.22000";"0.06708"
"-0.21800";"0.06817"
"-0.21600";"0.06938"
"-0.21400";"0.07104"
"-0.21200";"0.07300"
"-0.21000";"0.07458"
"-0.20800";"0.07600"
"-0.20600";"0.07817"
"-0.20400";"0.07992"
"-0.20200";"0.07992"
"-0.20000";"0.07721"
"-0.19800";"0.07329"
"-0.19600";"0.06988"
"-0.19400";"0.06692"
"-0.19200";"0.06371"
"-0.19000";"0.05950"
"-0.18800";"0.05475"
"-0.18600";"0.05062"
"-0.18400";"0.04767"
"-0.18200";"0.04667"
"-0.18000";"0.04675"
"-0.17800";"0.04629"
"-0.17600";"0.04463"
"-0.17400";"0.04192"
"-0.17200";"0.03892"
"-0.17000";"0.03637"
"-0.16800";"0.03408"
"-0.16600";"0.03192"
"-0.16400";"0.03029"
"-0.16200";"0.02925"
"-0.16000";"0.02900"
"-0.15800";"0.02850"
"-0.15600";"0.02883"
"-0.15400";"0.02958"
"-0.15200";"0.03112"
"-0.15000";"0.03196"
"-0.14800";"0.03121"
"-0.14600";"0.02929"
"-0.14400";"0.02721"
"-0.14200";"0.02658"
"-0.14000";"0.02662"
"-0.13800";"0.02675"
"-0.13600";"0.02687"
"-0.13400";"0.02679"
"-0.13200";"0.02692"
"-0.13000";"0.02737"
"-0.12800";"0.02787"
"-0.12600";"0.02871"
"-0.12400";"0.02917"
"-0.12200";"0.03000"
"-0.12000";"0.02988"
"-0.11800";"0.02992"
"-0.11600";"0.02988"
"-0.11400";"0.03046"
"-0.11200";"0.03075"
"-0.11000";"0.03100"
"-0.10800";"0.03100"
"-0.10600";"0.03092"
"-0.10400";"0.03058"
"-0.10200";"0.03017"
"-0.10000";"0.02829"
"-0.09800";"0.02642"
"-0.09600";"0.02442"
"-0.09400";"0.02413"
"-0.09200";"0.02425"
"-0.09000";"0.02446"
"-0.08800";"0.02463"
"-0.08600";"0.02458"
"-0.08400";"0.02454"
"-0.08200";"0.02471"
"-0.08000";"0.02517"
"-0.07800";"0.02800"
"-0.07600";"0.03292"
"-0.07400";"0.03863"
"-0.07200";"0.04092"
"-0.07000";"0.03858"
"-0.06800";"0.03788"
"-0.06600";"0.04363"
"-0.06400";"0.05417"
"-0.06200";"0.06763"
"-0.06000";"0.07863"
"-0.05800";"0.07017"
"-0.05600";"0.05279"
"-0.05400";"0.03250"
"-0.05200";"0.02904"
"-0.05000";"0.02896"
"-0.04800";"0.02925"
"-0.04600";"0.03012"
"-0.04400";"0.03112"
"-0.04200";"0.03183"
"-0.04000";"0.03229"
"-0.03800";"0.03329"
"-0.03600";"0.03475"
"-0.03400";"0.03721"
"-0.03200";"0.04004"
"-0.03000";"0.04058"
"-0.02800";"0.04054"
"-0.02600";"0.04271"
"-0.02400";"0.05267"
"-0.02200";"0.06167"
"-0.02000";"0.06075"
"-0.01800";"0.05446"
"-0.01600";"0.04913"
"-0.01400";"0.05071"
"-0.01200";"0.05304"
"-0.01000";"0.05521"
"-0.00800";"0.05729"
"-0.00600";"0.05892"
"-0.00400";"0.06121"
"-0.00200";"0.06442"
"0.00000";"0.06775"
"0.00200";"0.07100"
"0.00400";"0.07429"
"0.00600";"0.07829"
"0.00800";"0.08179"
"0.01000";"0.08596"
"0.01200";"0.09058"
"0.01400";"0.09650"
"0.01600";"0.10229"
"0.01800";"0.10754"
"0.02000";"0.11354"
"0.02200";"0.12054"
"0.02400";"0.12833"
"0.02600";"0.13671"
"0.02800";"0.14471"
"0.03000";"0.15362"
"0.03200";"0.16400"
"0.03400";"0.17971"
"0.03600";"0.20817"
"0.03800";"0.25092"
"0.04000";"0.29671"
"0.04200";"0.34054"
"0.04400";"0.38046"
"0.04600";"0.42267"
"0.04800";"0.45854"
"0.05000";"0.48583"
"0.05200";"0.50029"
"0.05400";"0.50117"
"0.05600";"0.48863"
"0.05800";"0.47263"
"0.06000";"0.46721"
"0.06200";"0.47517"
"0.06400";"0.49663"
"0.06600";"0.52329"
"0.06800";"0.55213"
"0.07000";"0.58262"
"0.07200";"0.61542"
"0.07400";"0.65200"
"0.07600";"0.69029"
"0.07800";"0.72875"
"0.08000";"0.76996"
"0.08200";"0.81333"
"0.08400";"0.86171"
"0.08600";"0.91321"
"0.08800";"0.96454"
"0.09000";"1.01988"
"0.09200";"1.07754"
"0.09400";"1.14254"
"0.09600";"1.20908"
"0.09800";"1.27625"
"0.10000";"1.34625"
"0.10200";"1.41783"
"0.10400";"1.49704"
"0.10600";"1.58000"
"0.10800";"1.66742"
"0.11000";"1.75650"
"0.11200";"1.85038"
"0.11400";"1.95079"
"0.11600";"2.05600"
"0.11800";"2.16058"
"0.12000";"2.26875"
"0.12200";"2.38021"
"0.12400";"2.49771"
"0.12600";"2.61142"
"0.12800";"2.72746"
"0.13000";"2.84500"
"0.13200";"2.96962"
"0.13400";"3.02471"
"0.13600";"3.08650"
"0.13800";"3.15958"
"0.14000";"3.31125"
"0.14200";"3.46375"
"0.14400";"3.60958"
"0.14600";"3.74500"
"0.14800";"3.88000"
"0.15000";"4.01375"
"0.15200";"4.15417"
"0.15400";"4.28667"
"0.15600";"4.41250"
"0.15800";"4.53542"
"0.16000";"4.65542"
"0.16200";"4.77917"
"0.16400";"4.91917"
"0.16600";"5.02375"
"0.16800";"5.12250"
"0.17000";"5.19417"
"0.17200";"5.29333"
"0.17400";"5.38417"
"0.17600";"5.46375"
"0.17800";"5.54292"
"0.18000";"5.61833"
"0.18200";"5.69583"
"0.18400";"5.76583"
"0.18600";"5.82417"
"0.18800";"5.87542"
"0.19000";"5.92208"
"0.19200";"5.96875"
"0.19400";"6.00917"
"0.19600";"6.03833"
"0.19800";"6.06292"
"0.20000";"6.08500"
"0.20200";"6.10792"
"0.20400";"6.12500"
"0.20600";"6.13208"
"0.20800";"6.13333"
"0.21000";"6.13208"
"0.21200";"6.13208"
"0.21400";"6.13000"
"0.21600";"6.12000"
"0.21800";"6.10708"
"0.22000";"6.09000"
"0.22200";"6.07500"
"0.22400";"6.05542"
"0.22600";"6.02958"
"0.22800";"6.00083"
"0.23000";"5.97208"
"0.23200";"5.94542"
"0.23400";"5.91625"
"0.23600";"5.88167"
"0.23800";"5.84583"
"0.24000";"5.81000"
"0.24200";"5.77625"
"0.24400";"5.74208"
"0.24600";"5.70208"
"0.24800";"5.66333"
"0.25000";"5.62292"
"0.25200";"5.58583"
"0.25400";"5.54500"
"0.25600";"5.50417"
"0.25800";"5.46375"
"0.26000";"5.42458"
"0.26200";"5.38542"
"0.26400";"5.34375"
"0.26600";"5.30333"
"0.26800";"5.26333"
"0.27000";"5.22625"
"0.27200";"5.18792"
"0.27400";"5.14875"
"0.27600";"5.11042"
"0.27800";"5.07375"
"0.28000";"5.03708"
"0.28200";"5.00083"
"0.28400";"4.96333"
"0.28600";"4.92750"
"0.28800";"4.89125"
"0.29000";"4.85625"
"0.29200";"4.82125"
"0.29400";"4.78542"
"0.29600";"4.75125"
"0.29800";"4.71792"
"0.30000";"4.68625"
"0.30200";"4.65417"
"0.30400";"4.62125"
"0.30600";"4.58958"
"0.30800";"4.55833"
"0.31000";"4.52917"
"0.31200";"4.49958"
"0.31400";"4.47000"
"0.31600";"4.44333"
"0.31800";"4.42042"
"0.32000";"4.39958"
"0.32200";"4.37792"
"0.32400";"4.35167"
"0.32600";"4.32375"
"0.32800";"4.29167"
"0.33000";"4.25958"
"0.33200";"4.22917"
"0.33400";"4.20083"
"0.33600";"4.17625"
"0.33800";"4.15125"
"0.34000";"4.12792"
"0.34200";"4.10417"
"0.34400";"4.08042"
"0.34600";"4.05708"
"0.34800";"4.03458"
"0.35000";"4.01375"
"0.35200";"3.99292"
"0.35400";"3.97208"
"0.35600";"3.95125"
"0.35800";"3.93042"
"0.36000";"3.91083"
"0.36200";"3.89292"
"0.36400";"3.89458"
"0.36600";"3.87833"
"0.36800";"3.85458"
"0.37000";"3.81250"
"0.37200";"3.78750"
"0.37400";"3.76875"
"0.37600";"3.75083"
"0.37800";"3.73333"
"0.38000";"3.71750"
"0.38200";"3.70000"
"0.38400";"3.68333"
"0.38600";"3.66542"
"0.38800";"3.64958"
"0.39000";"3.63333"
"0.39200";"3.61750"
"0.39400";"3.60083"
"0.39600";"3.58542"
"0.39800";"3.57000"
"0.40000";"3.55542"
"0.40200";"3.54000"
"0.40400";"3.52500"
"0.40600";"3.51083"
"0.40800";"3.49667"
"0.41000";"3.48208"
"0.41200";"3.46708"
"0.41400";"3.45208"
"0.41600";"3.43875"
"0.41800";"3.42583"
"0.42000";"3.41375"
"0.42200";"3.40042"
"0.42400";"3.38750"
"0.42600";"3.37500"
"0.42800";"3.36333"
"0.43000";"3.35167"
"0.43200";"3.33875"
"0.43400";"3.32625"
"0.43600";"3.31375"
"0.43800";"3.30250"
"0.44000";"3.29042"
"0.44200";"3.27875"
"0.44400";"3.26708"
"0.44600";"3.25625"
"0.44800";"3.24542"
"0.45000";"3.23458"
"0.45200";"3.22375"
"0.45400";"3.21250"
"0.45600";"3.20167"
"0.45800";"3.19042"
"0.46000";"3.18000"
"0.46200";"3.17000"
"0.46400";"3.16042"
"0.46600";"3.15125"
"0.46800";"3.14125"
"0.47000";"3.13167"
"0.47200";"3.12125"
"0.47400";"3.11125"
"0.47600";"3.10208"
"0.47800";"3.09292"
"0.48000";"3.08417"
"0.48200";"3.07417"
"0.48400";"3.06458"
"0.48600";"3.05542"
"0.48800";"3.04667"
"0.49000";"3.03792"
"0.49200";"3.02958"
"0.49400";"3.02083"
"0.49600";"3.01250"
"0.49800";"3.00375"
"0.50000";"2.99583"
"0.50200";"2.98750"
"0.50400";"2.97958"
"0.50600";"2.97167"
"0.50800";"2.96417"
"0.51000";"2.95625"
"0.51200";"2.94875"
"0.51400";"2.94125"
"0.51600";"2.93333"
"0.51800";"2.92583"
"0.52000";"2.91917"
"0.52200";"2.91292"
"0.52400";"2.90583"
