"400N1_1#001"
""
"Potential (V)";"Current (uA)"
"0.37800";"612.08331"
"0.38000";"617.70831"
"0.38200";"623.16669"
"0.38400";"628.62500"
"0.38600";"633.91669"
"0.38800";"639.41669"
"0.39000";"644.79169"
"0.39200";"650.08331"
"0.39400";"655.33331"
"0.39600";"660.62500"
"0.39800";"666.04169"
"0.40000";"671.37500"
"0.40200";"676.54169"
"0.40400";"681.58331"
"0.40600";"686.66669"
"0.40800";"691.95831"
"0.41000";"697.20831"
"0.41200";"702.29169"
"0.41400";"707.25000"
"0.41600";"712.29169"
"0.41800";"717.45831"
"0.42000";"722.54169"
"0.42200";"727.37500"
"0.42400";"732.20831"
"0.42600";"737.08331"
"0.42800";"742.08331"
"0.43000";"746.95831"
"0.43200";"751.66669"
"0.43400";"756.29169"
"0.43600";"760.87500"
"0.43800";"765.50000"
"0.44000";"770.12500"
"0.44200";"774.66669"
"0.44400";"779.20831"
"0.44600";"783.75000"
"0.44800";"788.29169"
"0.45000";"792.79169"
"0.45200";"797.16669"
"0.45400";"801.41669"
"0.45600";"805.58331"
"0.45800";"809.75000"
"0.46000";"814.00000"
"0.46200";"818.04169"
"0.46400";"822.00000"
"0.46600";"825.87500"
"0.46800";"829.91669"
"0.47000";"833.91669"
"0.47200";"837.70831"
"0.47400";"841.50000"
"0.47600";"845.20831"
"0.47800";"849.04169"
"0.48000";"852.70831"
"0.48200";"856.16669"
"0.48400";"859.50000"
"0.48600";"862.79169"
"0.48800";"866.29169"
"0.49000";"869.79169"
"0.49200";"873.08331"
"0.49400";"876.25000"
"0.49600";"879.25000"
"0.49800";"882.29169"
"0.50000";"885.20831"
"0.50200";"887.95831"
"0.50400";"890.58331"
"0.50600";"893.25000"
"0.50800";"895.95831"
"0.51000";"898.50000"
"0.51200";"900.83331"
"0.51400";"903.12500"
"0.51600";"905.50000"
"0.51800";"907.79169"
"0.52000";"909.83331"
"0.52200";"911.70831"
"0.52400";"913.50000"
"0.52600";"915.41669"
"0.52800";"917.16669"
"0.53000";"918.70831"
"0.53200";"920.04169"
"0.53400";"921.37500"
"0.53600";"922.75000"
"0.53800";"924.04169"
"0.54000";"925.20831"
"0.54200";"926.16669"
"0.54400";"927.08331"
"0.54600";"927.87500"
"0.54800";"928.62500"
"0.55000";"929.04169"
"0.55200";"929.33331"
"0.55400";"929.54169"
"0.55600";"929.75000"
"0.55800";"929.87500"
"0.56000";"929.66669"
"0.56200";"929.37500"
"0.56400";"928.91669"
"0.56600";"928.50000"
"0.56800";"927.95831"
"0.57000";"927.16669"
"0.57200";"926.25000"
"0.57400";"925.16669"
"0.57600";"924.08331"
"0.57800";"922.83331"
"0.58000";"921.37500"
"0.58200";"919.75000"
"0.58400";"917.95831"
"0.58600";"916.16669"
"0.58800";"914.25000"
"0.59000";"912.12500"
"0.59200";"909.75000"
"0.59400";"907.29169"
"0.59600";"904.83331"
"0.59800";"902.37500"
"0.60000";"899.62500"
"0.60200";"896.83331"
"0.60400";"893.91669"
"0.60600";"891.08331"
"0.60800";"888.08331"
"0.61000";"884.79169"
"0.61200";"881.50000"
"0.61400";"878.00000"
"0.61600";"874.62500"
"0.61800";"871.00000"
"0.62000";"867.33331"
"0.62200";"863.54169"
"0.62400";"859.70831"
"0.62600";"855.87500"
"0.62800";"851.91669"
"0.63000";"847.87500"
"0.63200";"843.91669"
"0.63400";"840.00000"
"0.63600";"836.12500"
"0.63800";"831.95831"
"0.64000";"827.79169"
"0.64200";"823.75000"
"0.64400";"819.83331"
"0.64600";"815.83331"
"0.64800";"811.54169"
"0.65000";"807.20831"
"0.65200";"802.95831"
"0.65400";"798.83331"
"0.65600";"794.79169"
"0.65800";"790.66669"
"0.66000";"786.66669"
"0.66200";"782.66669"
"0.66400";"778.75000"
"0.66600";"774.87500"
"0.66800";"770.95831"
"0.67000";"767.16669"
"0.67200";"763.41669"
"0.67400";"759.79169"
"0.67600";"756.16669"
"0.67800";"752.41669"
"0.68000";"748.79169"
"0.68200";"745.20831"
"0.68400";"741.75000"
"0.68600";"738.29169"
"0.68800";"734.75000"
"0.69000";"731.25000"
"0.69200";"727.70831"
"0.69400";"724.29169"
"0.69600";"720.83331"
"0.69800";"717.37500"
"0.70000";"714.00000"
"0.70200";"710.75000"
"0.70400";"707.62500"
"0.70600";"704.58331"
"0.70800";"701.54169"
"0.71000";"698.58331"
"0.71200";"695.66669"
"0.71400";"692.75000"
"0.71600";"689.91669"
"0.71800";"687.08331"
"0.72000";"684.37500"
"0.72200";"681.62500"
"0.72400";"678.95831"
"0.72600";"676.33331"
"0.72800";"673.70831"
"0.73000";"670.95831"
"0.73200";"668.33331"
"0.73400";"665.83331"
"0.73600";"663.50000"
"0.73800";"661.08331"
"0.74000";"658.66669"
"0.74200";"656.29169"
"0.74400";"653.95831"
"0.74600";"651.62500"
"0.74800";"649.25000"
"0.75000";"646.95831"
"0.75200";"644.70831"
"0.75400";"642.54169"
"0.75600";"640.41669"
"0.75800";"638.33331"
"0.76000";"636.29169"
"0.76200";"634.25000"
"0.76400";"632.16669"
"0.76600";"630.08331"
"0.76800";"628.04169"
"0.77000";"626.08331"
"0.77200";"624.16669"
"0.77400";"622.16669"
"0.77600";"620.16669"
"0.77800";"618.16669"
"0.78000";"616.25000"
"0.78200";"614.33331"
"0.78400";"612.37500"
"0.78600";"610.37500"
"0.78800";"608.41669"
"0.79000";"606.50000"
"0.79200";"604.66669"
"0.79400";"602.75000"
"0.79600";"600.79169"
"0.79800";"598.66669"
"0.80000";"596.54169"
"0.80200";"594.37500"
"0.80400";"592.33331"
"0.80600";"590.37500"
"0.80800";"588.54169"
"0.81000";"586.75000"
"0.81200";"585.04169"
"0.81400";"583.41669"
"0.81600";"581.87500"
"0.81800";"580.33331"
"0.82000";"578.79169"
"0.82200";"577.25000"
"0.82400";"575.79169"
"0.82600";"574.37500"
"0.82800";"573.00000"
"0.83000";"571.54169"
"0.83200";"570.08331"
"0.83400";"568.66669"
"0.83600";"567.37500"
"0.83800";"566.08331"
"0.84000";"564.70831"
"0.84200";"563.33331"
"0.84400";"562.04169"
"0.84600";"560.75000"
"0.84800";"559.54169"
"0.85000";"558.20831"
"0.85200";"557.00000"
"0.85400";"555.66669"
"0.85600";"554.45831"
"0.85800";"553.20831"
"0.86000";"552.00000"
"0.86200";"550.66669"
"0.86400";"549.37500"
"0.86600";"548.08331"
"0.86800";"546.79169"
"0.87000";"545.54169"
"0.87200";"544.25000"
"0.87400";"543.12500"
"0.87600";"541.91669"
"0.87800";"540.79169"
"0.88000";"539.62500"
"0.88200";"538.54169"
"0.88400";"537.50000"
"0.88600";"536.45831"
"0.88800";"535.50000"
"0.89000";"534.45831"
"0.89200";"533.45831"
"0.89400";"532.37500"
"0.89600";"531.33331"
"0.89800";"530.20831"
"0.90000";"529.00000"
"0.89800";"526.95831"
"0.89600";"525.08331"
"0.89400";"523.54169"
"0.89200";"522.12500"
"0.89000";"520.87500"
"0.88800";"519.66669"
"0.88600";"518.50000"
"0.88400";"517.41669"
"0.88200";"516.29169"
"0.88000";"515.25000"
"0.87800";"514.12500"
"0.87600";"513.12500"
"0.87400";"512.12500"
"0.87200";"511.20834"
"0.87000";"510.25000"
"0.86800";"509.33334"
"0.86600";"508.41666"
"0.86400";"507.54166"
"0.86200";"506.58334"
"0.86000";"505.58334"
"0.85800";"504.45834"
"0.85600";"503.29166"
"0.85400";"502.08334"
"0.85200";"500.91666"
"0.85000";"499.79166"
"0.84800";"498.70834"
"0.84600";"497.66666"
"0.84400";"496.66666"
"0.84200";"495.75000"
"0.84000";"494.79166"
"0.83800";"493.83334"
"0.83600";"492.83334"
"0.83400";"491.95834"
"0.83200";"491.08334"
"0.83000";"490.29166"
"0.82800";"489.54166"
"0.82600";"488.79166"
"0.82400";"488.00000"
"0.82200";"487.12500"
"0.82000";"486.25000"
"0.81800";"485.45834"
"0.81600";"484.70834"
"0.81400";"484.00000"
"0.81200";"483.25000"
"0.81000";"482.45834"
"0.80800";"481.66666"
"0.80600";"480.91666"
"0.80400";"480.20834"
"0.80200";"479.50000"
"0.80000";"478.79166"
"0.79800";"478.04166"
"0.79600";"477.29166"
"0.79400";"476.50000"
"0.79200";"475.83334"
"0.79000";"475.16666"
"0.78800";"474.50000"
"0.78600";"473.79166"
"0.78400";"473.12500"
"0.78200";"472.50000"
"0.78000";"471.83334"
"0.77800";"471.20834"
"0.77600";"470.50000"
"0.77400";"469.91666"
"0.77200";"469.29166"
"0.77000";"468.75000"
"0.76800";"468.12500"
"0.76600";"467.50000"
"0.76400";"466.87500"
"0.76200";"466.29166"
"0.76000";"465.75000"
"0.75800";"465.20834"
"0.75600";"464.66666"
"0.75400";"464.16666"
"0.75200";"463.70834"
"0.75000";"463.29166"
"0.74800";"462.83334"
"0.74600";"462.33334"
"0.74400";"461.79166"
"0.74200";"461.29166"
"0.74000";"460.83334"
"0.73800";"460.33334"
"0.73600";"459.87500"
"0.73400";"459.37500"
"0.73200";"458.87500"
"0.73000";"458.41666"
"0.72800";"457.95834"
"0.72600";"457.58334"
"0.72400";"457.08334"
"0.72200";"456.62500"
"0.72000";"456.12500"
"0.71800";"455.62500"
"0.71600";"455.16666"
"0.71400";"454.70834"
"0.71200";"454.25000"
"0.71000";"453.79166"
"0.70800";"453.37500"
"0.70600";"452.87500"
"0.70400";"452.41666"
"0.70200";"451.91666"
"0.70000";"451.50000"
"0.69800";"450.95834"
"0.69600";"450.45834"
"0.69400";"450.00000"
"0.69200";"449.62500"
"0.69000";"449.20834"
"0.68800";"448.79166"
"0.68600";"448.33334"
"0.68400";"447.91666"
"0.68200";"447.45834"
"0.68000";"447.00000"
"0.67800";"446.54166"
"0.67600";"446.04166"
"0.67400";"445.54166"
"0.67200";"445.08334"
"0.67000";"444.62500"
"0.66800";"444.25000"
"0.66600";"443.79166"
"0.66400";"443.37500"
"0.66200";"442.87500"
"0.66000";"442.45834"
"0.65800";"441.95834"
"0.65600";"441.54166"
"0.65400";"441.00000"
"0.65200";"440.62500"
"0.65000";"440.20834"
"0.64800";"439.79166"
"0.64600";"439.25000"
"0.64400";"438.70834"
"0.64200";"438.20834"
"0.64000";"437.79166"
"0.63800";"437.20834"
"0.63600";"436.50000"
"0.63400";"435.62500"
"0.63200";"434.79166"
"0.63000";"434.00000"
"0.62800";"433.29166"
"0.62600";"432.66666"
"0.62400";"432.08334"
"0.62200";"431.58334"
"0.62000";"431.08334"
"0.61800";"430.62500"
"0.61600";"430.16666"
"0.61400";"429.75000"
"0.61200";"429.37500"
"0.61000";"428.91666"
"0.60800";"428.41666"
"0.60600";"427.87500"
"0.60400";"427.41666"
"0.60200";"427.00000"
"0.60000";"426.58334"
"0.59800";"426.08334"
"0.59600";"425.58334"
"0.59400";"425.04166"
"0.59200";"424.54166"
"0.59000";"424.04166"
"0.58800";"423.45834"
"0.58600";"422.79166"
"0.58400";"422.04166"
"0.58200";"421.33334"
"0.58000";"420.66666"
"0.57800";"419.95834"
"0.57600";"419.25000"
"0.57400";"418.45834"
"0.57200";"417.70834"
"0.57000";"416.95834"
"0.56800";"416.20834"
"0.56600";"415.41666"
"0.56400";"414.58334"
"0.56200";"413.91666"
"0.56000";"413.25000"
"0.55800";"412.54166"
"0.55600";"411.70834"
"0.55400";"410.91666"
"0.55200";"410.25000"
"0.55000";"409.58334"
"0.54800";"408.83334"
"0.54600";"408.04166"
"0.54400";"407.16666"
"0.54200";"406.41666"
"0.54000";"405.54166"
"0.53800";"404.75000"
"0.53600";"403.87500"
"0.53400";"403.04166"
"0.53200";"402.25000"
"0.53000";"401.41666"
"0.52800";"400.58334"
"0.52600";"399.62500"
"0.52400";"398.66666"
"0.52200";"397.75000"
"0.52000";"396.91666"
"0.51800";"396.00000"
"0.51600";"395.00000"
"0.51400";"393.91666"
"0.51200";"392.91666"
"0.51000";"391.95834"
"0.50800";"390.87500"
"0.50600";"389.70834"
"0.50400";"388.62500"
"0.50200";"387.54166"
"0.50000";"386.54166"
"0.49800";"385.37500"
"0.49600";"384.29166"
"0.49400";"383.20834"
"0.49200";"382.08334"
"0.49000";"380.95834"
"0.48800";"379.70834"
"0.48600";"378.50000"
"0.48400";"377.29166"
"0.48200";"376.00000"
"0.48000";"374.70834"
"0.47800";"373.33334"
"0.47600";"372.00000"
"0.47400";"370.62500"
"0.47200";"369.25000"
"0.47000";"367.75000"
"0.46800";"366.20834"
"0.46600";"364.58334"
"0.46400";"363.12500"
"0.46200";"361.54166"
"0.46000";"360.00000"
"0.45800";"358.29166"
"0.45600";"356.66666"
"0.45400";"355.08334"
"0.45200";"353.54166"
"0.45000";"351.95834"
"0.44800";"350.12500"
"0.44600";"348.16666"
"0.44400";"346.25000"
"0.44200";"344.41666"
"0.44000";"342.58334"
"0.43800";"340.66666"
"0.43600";"338.70834"
"0.43400";"336.83334"
"0.43200";"334.91666"
"0.43000";"332.91666"
"0.42800";"330.83334"
"0.42600";"328.66666"
"0.42400";"326.58334"
"0.42200";"324.37500"
"0.42000";"322.16666"
"0.41800";"319.87500"
"0.41600";"317.54166"
"0.41400";"315.25000"
"0.41200";"312.95834"
"0.41000";"310.62500"
"0.40800";"308.25000"
"0.40600";"305.75000"
"0.40400";"303.41666"
"0.40200";"300.95834"
"0.40000";"298.54166"
"0.39800";"296.04166"
"0.39600";"293.50000"
"0.39400";"291.04166"
"0.39200";"288.45834"
"0.39000";"285.83334"
"0.38800";"283.08334"
"0.38600";"280.29166"
"0.38400";"277.66666"
"0.38200";"274.91666"
"0.38000";"272.16666"
"0.37800";"269.25000"
"0.37600";"266.45834"
"0.37400";"263.58334"
"0.37200";"260.75000"
"0.37000";"257.83334"
"0.36800";"255.00000"
"0.36600";"252.12500"
"0.36400";"249.12500"
"0.36200";"246.08333"
"0.36000";"242.95833"
"0.35800";"239.87500"
"0.35600";"236.83333"
"0.35400";"233.79167"
"0.35200";"230.58333"
"0.35000";"227.25000"
"0.34800";"223.79167"
"0.34600";"220.54167"
"0.34400";"217.25000"
"0.34200";"213.95833"
"0.34000";"210.50000"
"0.33800";"207.00000"
"0.33600";"203.54167"
"0.33400";"200.08333"
"0.33200";"196.58333"
"0.33000";"193.00000"
"0.32800";"189.33333"
"0.32600";"185.75000"
"0.32400";"182.16667"
"0.32200";"178.58333"
"0.32000";"174.79167"
"0.31800";"170.95833"
"0.31600";"167.20833"
"0.31400";"163.45833"
"0.31200";"159.66667"
"0.31000";"155.70833"
"0.30800";"151.75000"
"0.30600";"147.87500"
"0.30400";"143.95833"
"0.30200";"140.08333"
"0.30000";"136.04167"
"0.29800";"132.00000"
"0.29600";"128.08333"
"0.29400";"124.12500"
"0.29200";"120.20834"
"0.29000";"116.12500"
"0.28800";"111.91666"
"0.28600";"107.79166"
"0.28400";"103.58334"
"0.28200";"99.58334"
"0.28000";"95.29166"
"0.27800";"90.95834"
"0.27600";"86.58334"
"0.27400";"82.41666"
"0.27200";"78.25000"
"0.27000";"73.95834"
"0.26800";"69.50000"
"0.26600";"65.08334"
"0.26400";"60.75000"
"0.26200";"56.41667"
