"400N1_1#002"
""
"Potential (V)";"Current (uA)"
"0.36800";"621.66669"
"0.37000";"627.54169"
"0.37200";"633.29169"
"0.37400";"638.91669"
"0.37600";"644.41669"
"0.37800";"649.91669"
"0.38000";"655.66669"
"0.38200";"661.25000"
"0.38400";"666.91669"
"0.38600";"672.45831"
"0.38800";"678.20831"
"0.39000";"683.70831"
"0.39200";"689.00000"
"0.39400";"694.20831"
"0.39600";"699.58331"
"0.39800";"704.95831"
"0.40000";"710.37500"
"0.40200";"715.45831"
"0.40400";"720.54169"
"0.40600";"725.58331"
"0.40800";"730.83331"
"0.41000";"736.16669"
"0.41200";"741.16669"
"0.41400";"746.12500"
"0.41600";"750.95831"
"0.41800";"756.00000"
"0.42000";"760.91669"
"0.42200";"765.58331"
"0.42400";"770.20831"
"0.42600";"774.87500"
"0.42800";"779.66669"
"0.43000";"784.37500"
"0.43200";"788.91669"
"0.43400";"793.41669"
"0.43600";"797.87500"
"0.43800";"802.37500"
"0.44000";"806.83331"
"0.44200";"811.08331"
"0.44400";"815.29169"
"0.44600";"819.50000"
"0.44800";"823.79169"
"0.45000";"828.00000"
"0.45200";"832.00000"
"0.45400";"835.87500"
"0.45600";"839.62500"
"0.45800";"843.45831"
"0.46000";"847.20831"
"0.46200";"850.87500"
"0.46400";"854.33331"
"0.46600";"857.79169"
"0.46800";"861.25000"
"0.47000";"864.75000"
"0.47200";"868.00000"
"0.47400";"871.16669"
"0.47600";"874.33331"
"0.47800";"877.54169"
"0.48000";"880.66669"
"0.48200";"883.41669"
"0.48400";"886.12500"
"0.48600";"888.75000"
"0.48800";"891.37500"
"0.49000";"893.91669"
"0.49200";"896.29169"
"0.49400";"898.62500"
"0.49600";"900.83331"
"0.49800";"903.00000"
"0.50000";"905.08331"
"0.50200";"907.04169"
"0.50400";"908.83331"
"0.50600";"910.54169"
"0.50800";"912.20831"
"0.51000";"913.75000"
"0.51200";"915.12500"
"0.51400";"916.37500"
"0.51600";"917.62500"
"0.51800";"918.75000"
"0.52000";"919.50000"
"0.52200";"920.12500"
"0.52400";"920.58331"
"0.52600";"921.20831"
"0.52800";"921.62500"
"0.53000";"921.83331"
"0.53200";"921.83331"
"0.53400";"921.66669"
"0.53600";"921.50000"
"0.53800";"921.20831"
"0.54000";"920.79169"
"0.54200";"920.25000"
"0.54400";"919.54169"
"0.54600";"918.79169"
"0.54800";"917.83331"
"0.55000";"916.62500"
"0.55200";"915.12500"
"0.55400";"913.58331"
"0.55600";"912.04169"
"0.55800";"910.41669"
"0.56000";"908.41669"
"0.56200";"906.25000"
"0.56400";"903.95831"
"0.56600";"901.83331"
"0.56800";"899.58331"
"0.57000";"897.08331"
"0.57200";"894.37500"
"0.57400";"891.66669"
"0.57600";"889.08331"
"0.57800";"886.33331"
"0.58000";"883.20831"
"0.58200";"879.83331"
"0.58400";"876.50000"
"0.58600";"873.16669"
"0.58800";"869.75000"
"0.59000";"866.08331"
"0.59200";"862.37500"
"0.59400";"858.70831"
"0.59600";"855.04169"
"0.59800";"851.37500"
"0.60000";"847.50000"
"0.60200";"843.66669"
"0.60400";"839.83331"
"0.60600";"836.12500"
"0.60800";"832.25000"
"0.61000";"828.29169"
"0.61200";"824.33331"
"0.61400";"820.41669"
"0.61600";"816.54169"
"0.61800";"812.62500"
"0.62000";"808.70831"
