"400N1_1#009"
""
"Time (s)";"Current (uA)"
"0.00000";"-0.06721"
"0.50000";"-0.06014"
"1.00000";"-0.05710"
"1.50000";"-0.06065"
"2.00000";"-0.06978"
"2.50000";"-0.06780"
"3.00000";"-0.05935"
"3.50000";"-0.04747"
"4.00000";"-0.04603"
"4.50000";"-0.04638"
"5.00000";"-0.04630"
"5.50000";"-0.04725"
"6.00000";"-0.04862"
"6.50000";"-0.04911"
"7.00000";"-0.04807"
"7.50000";"-0.04725"
"8.00000";"-0.04712"
"8.50000";"-0.04556"
"9.00000";"-0.04322"
"9.50000";"-0.04052"
"10.00000";"-0.03811"
"10.50000";"-0.03571"
"11.00000";"-0.03338"
"11.50000";"-0.03097"
"12.00000";"-0.02951"
"12.50000";"-0.02976"
"13.00000";"-0.03078"
"13.50000";"-0.03218"
"14.00000";"-0.03264"
"14.50000";"-0.03299"
"15.00000";"-0.03226"
"15.50000";"-0.03143"
"16.00000";"-0.03321"
"16.50000";"-0.03617"
"17.00000";"-0.03970"
"17.50000";"-0.04053"
"18.00000";"-0.04000"
"18.50000";"-0.03807"
"19.00000";"-0.03579"
"19.50000";"-0.03308"
"20.00000";"-0.03064"
"20.50000";"-0.02844"
"21.00000";"-0.02701"
"21.50000";"-0.02452"
"22.00000";"-0.02165"
"22.50000";"-0.01958"
"23.00000";"-0.01886"
"23.50000";"-0.01863"
"24.00000";"-0.01883"
"24.50000";"-0.02016"
"25.00000";"-0.02251"
"25.50000";"-0.02453"
"26.00000";"-0.02568"
"26.50000";"-0.02707"
"27.00000";"-0.02868"
"27.50000";"-0.03099"
"28.00000";"-0.03243"
"28.50000";"-0.03307"
"29.00000";"-0.03264"
"29.50000";"-0.03174"
"30.00000";"-0.03065"
"30.50000";"-0.02871"
"31.00000";"-0.02673"
"31.50000";"-0.02316"
"32.00000";"-0.02001"
"32.50000";"-0.01631"
"33.00000";"-0.01455"
"33.50000";"-0.01369"
"34.00000";"-0.01360"
"34.50000";"-0.01480"
"35.00000";"-0.01651"
"35.50000";"-0.01885"
"36.00000";"-0.01968"
"36.50000";"-0.02049"
"37.00000";"-0.02174"
"37.50000";"-0.02458"
"38.00000";"-0.02798"
"38.50000";"-0.03142"
"39.00000";"-0.03295"
"39.50000";"-0.03283"
"40.00000";"-0.03061"
"40.50000";"-0.02840"
"41.00000";"-0.02572"
"41.50000";"-0.02427"
"42.00000";"-0.02291"
"42.50000";"-0.02127"
"43.00000";"-0.01883"
"43.50000";"-0.01582"
"44.00000";"-0.01340"
"44.50000";"-0.01180"
"45.00000";"-0.01147"
"45.50000";"-0.01219"
"46.00000";"-0.01325"
"46.50000";"-0.01462"
"47.00000";"-0.01569"
"47.50000";"-0.01747"
"48.00000";"-0.01957"
"48.50000";"-0.02184"
"49.00000";"-0.02367"
"49.50000";"-0.02507"
"50.00000";"-0.02638"
"50.50000";"-0.02752"
"51.00000";"-0.02757"
"51.50000";"-0.02631"
"52.00000";"-0.02372"
"52.50000";"-0.02065"
"53.00000";"-0.01801"
"53.50000";"-0.01551"
"54.00000";"-0.01336"
"54.50000";"-0.01128"
"55.00000";"-0.01007"
"55.50000";"-0.00946"
"56.00000";"-0.00930"
"56.50000";"-0.00941"
"57.00000";"-0.00958"
"57.50000";"-0.01024"
"58.00000";"-0.01081"
"58.50000";"-0.01318"
"59.00000";"-0.01642"
"59.50000";"-0.02011"
"60.00000";"-0.02274"
