"400N1_1#021"
""
"Time (s)";"Current (uA)"
"0.00000";"-0.05874"
"0.50000";"-0.05841"
"1.00000";"-0.05809"
"1.50000";"-0.05415"
"2.00000";"-0.04958"
"2.50000";"-0.04437"
"3.00000";"-0.04253"
"3.50000";"-0.04062"
"4.00000";"-0.03918"
"4.50000";"-0.03788"
"5.00000";"-0.03678"
"5.50000";"-0.03582"
"6.00000";"-0.03488"
"6.50000";"-0.03410"
"7.00000";"-0.03333"
"7.50000";"-0.03279"
"8.00000";"-0.03210"
"8.50000";"-0.03152"
"9.00000";"-0.03085"
"9.50000";"-0.03036"
"10.00000";"-0.02980"
"10.50000";"-0.02929"
"11.00000";"-0.02871"
"11.50000";"-0.02826"
"12.00000";"-0.02783"
"12.50000";"-0.02741"
"13.00000";"-0.02691"
"13.50000";"-0.02654"
"14.00000";"-0.02623"
"14.50000";"-0.02603"
"15.00000";"-0.02565"
"15.50000";"-0.02547"
"16.00000";"-0.02515"
"16.50000";"-0.02495"
"17.00000";"-0.02452"
"17.50000";"-0.02441"
"18.00000";"-0.02410"
"18.50000";"-0.02378"
"19.00000";"-0.02342"
"19.50000";"-0.02321"
"20.00000";"-0.02306"
"20.50000";"-0.02286"
"21.00000";"-0.02262"
"21.50000";"-0.02250"
"22.00000";"-0.02227"
"22.50000";"-0.02208"
"23.00000";"-0.02187"
"23.50000";"-0.02167"
"24.00000";"-0.02170"
"24.50000";"-0.02153"
"25.00000";"-0.02150"
"25.50000";"-0.02125"
"26.00000";"-0.02119"
"26.50000";"-0.02097"
"27.00000";"-0.02080"
"27.50000";"-0.02060"
"28.00000";"-0.02047"
"28.50000";"-0.02052"
"29.00000";"-0.02055"
"29.50000";"-0.02049"
"30.00000";"-0.02024"
"30.50000";"-0.01997"
"31.00000";"-0.01987"
"31.50000";"-0.01973"
"32.00000";"-0.01945"
"32.50000";"-0.01930"
"33.00000";"-0.01912"
"33.50000";"-0.01920"
"34.00000";"-0.01908"
"34.50000";"-0.01906"
"35.00000";"-0.01892"
"35.50000";"-0.01897"
"36.00000";"-0.01886"
"36.50000";"-0.01892"
"37.00000";"-0.01884"
"37.50000";"-0.01884"
"38.00000";"-0.01868"
"38.50000";"-0.01856"
"39.00000";"-0.01841"
"39.50000";"-0.01845"
"40.00000";"-0.01834"
"40.50000";"-0.01823"
"41.00000";"-0.01804"
"41.50000";"-0.01796"
"42.00000";"-0.01802"
"42.50000";"-0.01810"
"43.00000";"-0.01810"
"43.50000";"-0.01805"
"44.00000";"-0.01776"
"44.50000";"-0.01768"
"45.00000";"-0.01766"
"45.50000";"-0.01787"
"46.00000";"-0.01789"
"46.50000";"-0.01782"
"47.00000";"-0.01772"
"47.50000";"-0.01773"
"48.00000";"-0.01769"
"48.50000";"-0.01767"
"49.00000";"-0.01755"
"49.50000";"-0.01766"
"50.00000";"-0.01760"
"50.50000";"-0.01758"
"51.00000";"-0.01740"
"51.50000";"-0.01729"
"52.00000";"-0.01723"
"52.50000";"-0.01727"
"53.00000";"-0.01743"
"53.50000";"-0.01743"
"54.00000";"-0.01744"
"54.50000";"-0.01727"
"55.00000";"-0.01713"
"55.50000";"-0.01710"
"56.00000";"-0.01720"
"56.50000";"-0.01727"
"57.00000";"-0.01720"
"57.50000";"-0.01710"
"58.00000";"-0.01710"
"58.50000";"-0.01701"
"59.00000";"-0.01705"
"59.50000";"-0.01713"
"60.00000";"-0.01736"
